Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+10.0 / -10.0,ARI,ATL,-,+10.0 / -10.0
+1.0 / -1.0,CLE,DEN,-,+1.0 / -1.0
+3.0 / -3.0,DAL,IND,-,+3.0 / -3.0
+2.5 / -2.5,DET,BUF,-,+2.5 / -2.5
+5.5 / -5.5,GNB,CHI,-,+5.5 / -5.5
-7.0 / 7.0,HOU,NYJ,-,-7.0 / 7.0
+3.5 / -3.5,LAC,KAN,-,+3.5 / -3.5
+7.5 / -7.5,MIA,MIN,-,+7.5 / -7.5
-6.0 / 6.0,NOR,CAR,-,-6.0 / 6.0
-2.5 / 2.5,NWE,PIT,-,-2.5 / 2.5
+3.0 / -3.0,OAK,CIN,-,+3.0 / -3.0
+13.5 / -13.5,PHI,LAR,-,+13.5 / -13.5
-3.5 / 3.5,SEA,SFO,-,-3.5 / 3.5
+8.5 / -8.5,TAM,BAL,-,+8.5 / -8.5
-2.5 / 2.5,TEN,NYG,-,-2.5 / 2.5
+7.5 / -7.5,WAS,JAX,-,+7.5 / -7.5
