TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-36.6%,32,-35.9%,32,3-10,-38.8%,32,-2.3%,14,0.0%,16
ATL,-8.4%,20,-6.2%,20,4-9,6.5%,10,16.8%,32,1.8%,9
BAL,16.9%,9,16.1%,6,7-6,-0.3%,15,-13.3%,2,3.8%,5
BUF,-25.9%,30,-20.3%,28,4-9,-34.2%,31,-12.1%,3,-3.8%,27
CAR,1.6%,14,1.6%,16,6-7,10.2%,8,8.4%,27,-0.1%,17
CHI,17.2%,6,16.0%,7,9-4,-5.2%,22,-26.3%,1,-4.0%,28
CIN,-9.2%,24,-15.8%,26,5-8,-0.5%,16,9.6%,28,0.8%,12
CLE,-8.9%,23,-4.6%,18,5-7-1,-8.7%,26,-4.1%,10,-4.4%,30
DAL,-2.3%,18,-1.7%,17,8-5,-8.1%,25,-6.8%,7,-1.0%,20
DEN,15.5%,5,19.6%,5,6-7,5.3%,11,-12.0%,4,-1.8%,23
DET,-21.6%,28,-14.0%,24,5-8,-7.4%,24,13.2%,29,-1.0%,21
GB,6.0%,12,7.1%,13,5-7-1,13.2%,7,5.5%,25,-1.8%,22
HOU,4.3%,11,3.7%,14,9-4,-5.1%,21,-6.5%,8,2.9%,7
IND,7.1%,13,13.5%,10,7-6,2.9%,13,-3.8%,11,0.4%,13
JAX,-5.0%,17,-8.8%,22,4-9,-16.7%,28,-8.4%,5,3.3%,6
KC,33.5%,1,30.4%,1,11-2,36.3%,1,7.9%,26,5.1%,2
LAC,26.4%,3,27.4%,2,10-3,26.0%,2,-4.3%,9,-3.8%,26
LAR,25.8%,2,23.6%,4,11-2,22.7%,3,-2.9%,12,0.1%,14
MIA,-5.2%,21,-10.0%,23,7-6,-2.6%,20,4.2%,24,1.7%,10
MIN,1.6%,15,2.9%,15,6-6-1,-1.7%,17,-7.0%,6,-3.6%,25
NE,10.9%,8,12.7%,11,9-4,14.8%,6,3.3%,21,-0.6%,19
NO,21.8%,4,26.3%,3,11-2,17.9%,4,-2.3%,13,1.6%,11
NYG,2.9%,16,8.8%,12,5-8,1.3%,14,2.9%,20,4.5%,3
NYJ,-16.6%,27,-21.4%,29,4-9,-23.1%,30,1.0%,18,7.5%,1
OAK,-21.8%,29,-23.7%,30,3-10,-1.7%,17,15.8%,31,-4.3%,29
PHI,-6.0%,19,-6.8%,21,6-7,-2.0%,19,3.9%,23,-0.2%,18
PIT,11.1%,7,13.5%,9,7-5-1,15.5%,5,-0.1%,16,-4.6%,32
SEA,12.0%,10,13.5%,8,8-5,8.6%,9,-0.6%,15,2.8%,8
SF,-23.3%,31,-24.1%,31,3-10,-16.1%,27,3.8%,22,-3.3%,24
TB,-13.6%,26,-15.2%,25,5-8,4.2%,12,13.2%,30,-4.6%,31
TEN,-8.1%,25,-4.8%,19,7-6,-7.3%,23,0.8%,17,0.0%,15
WAS,-16.1%,22,-18.5%,27,6-7,-17.7%,29,2.4%,19,4.1%,4
