Game,EGO,Spread,Spread Target,Pick
LAC @ KC,-2.88,3.5,"[6.5, 4.5]",
ARI @ ATL,-8.58,10.0,"[12.5, 10.0]",ARI
DAL @ IND,-5.52,3.0,"[4.0, 2.0]",IND
DET @ BUF,-0.84,2.5,"[4.5, 2.5]",DET
GB @ CHI,-4.16,5.5,"[8.0, 5.5]",GB
MIA @ MIN,-5.03,7.5,"[8.5, 6.5]",MIA
OAK @ CIN,-3.95,3.0,"[2.5, 0.0]",
TB @ BAL,-8.92,8.5,"[7.5, 5.0]",
TEN @ NYG,-5.18,-2.5,"[3.5, 1.5]",
WAS @ JAX,-4.34,7.5,"[8.0, 6.0]",WAS
SEA @ SF,6.25,-3.5,"[-2.5, -5.0]",SEA
NE @ PIT,-2.4,-2.5,"[1.0, -1.5]",
PHI @ LAR,-8.73,13.5,"[12.5, 10.0]",
HOU @ NYJ,3.38,-7.0,"[-5.0, -7.0]",NYJ
CLE @ DEN,-7.43,1.0,"[6.0, 3.5]",
NO @ CAR,3.29,-6.0,"[-5.0, -7.0]",CAR
