Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,ATL,15,Sun,December 16,1:00PM,0,boxscore,14,40,435,0,253,3,-35.9%,10.0
ATL,ARI,15,Sun,December 16,1:00PM,1,boxscore,40,14,435,0,253,3,-6.2%,-10.0
BAL,TB,15,Sun,December 16,1:00PM,1,boxscore,20,12,370,2,241,1,16.1%,-8.5
BUF,DET,15,Sun,December 16,1:00PM,1,boxscore,14,13,312,0,313,0,-20.3%,-2.5
CAR,NO,15,Mon,December 17,8:15PM,1,boxscore,9,12,346,2,247,2,1.6%,6.0
CHI,GB,15,Sun,December 16,1:00PM,1,boxscore,24,17,332,1,323,1,16.0%,-5.5
CIN,OAK,15,Sun,December 16,1:00PM,1,boxscore,30,16,294,1,297,2,-15.8%,-3.0
CLE,DEN,15,Sat,December 15,8:20PM,0,boxscore,17,16,309,2,270,2,-4.6%,1.0
DAL,IND,15,Sun,December 16,1:00PM,0,boxscore,0,23,370,1,292,1,-1.7%,3.0
DEN,CLE,15,Sat,December 15,8:20PM,1,boxscore,16,17,309,2,270,2,19.6%,-1.0
DET,BUF,15,Sun,December 16,1:00PM,0,boxscore,13,14,312,0,313,0,-14.0%,2.5
GB,CHI,15,Sun,December 16,1:00PM,0,boxscore,17,24,332,1,323,1,7.1%,5.5
HOU,NYJ,15,Sat,December 15,4:30PM,0,boxscore,29,22,286,0,318,1,3.7%,-7.0
IND,DAL,15,Sun,December 16,1:00PM,1,boxscore,23,0,370,1,292,1,13.5%,-3.0
JAX,WAS,15,Sun,December 16,1:00PM,1,boxscore,13,16,245,0,192,2,-8.8%,-7.5
KC,LAC,15,Thu,December 13,8:20PM,1,boxscore,28,29,407,2,294,0,30.4%,-3.5
LAC,KC,15,Thu,December 13,8:20PM,0,boxscore,29,28,407,2,294,0,27.4%,3.5
LAR,PHI,15,Sun,December 16,8:20PM,1,boxscore,23,30,381,1,407,3,23.6%,-13.5
MIA,MIN,15,Sun,December 16,1:00PM,0,boxscore,17,41,418,1,193,0,-10.0%,7.5
MIN,MIA,15,Sun,December 16,1:00PM,1,boxscore,41,17,418,1,193,0,2.9%,-7.5
NE,PIT,15,Sun,December 16,4:25PM,0,boxscore,10,17,376,2,368,1,12.7%,-2.5
NO,CAR,15,Mon,December 17,8:15PM,0,boxscore,12,9,346,2,247,2,26.3%,-6.0
NYG,TEN,15,Sun,December 16,1:00PM,1,boxscore,0,17,301,0,260,2,8.8%,2.5
NYJ,HOU,15,Sat,December 15,4:30PM,1,boxscore,22,29,286,0,318,1,-21.4%,7.0
OAK,CIN,15,Sun,December 16,1:00PM,0,boxscore,16,30,294,1,297,2,-23.7%,3.0
PHI,LAR,15,Sun,December 16,8:20PM,0,boxscore,30,23,381,1,407,3,-6.8%,13.5
PIT,NE,15,Sun,December 16,4:25PM,1,boxscore,17,10,376,2,368,1,13.5%,2.5
SEA,SF,15,Sun,December 16,4:05PM,0,boxscore,23,26,351,1,385,0,13.5%,-3.5
SF,SEA,15,Sun,December 16,4:05PM,1,boxscore,26,23,351,1,385,0,-24.1%,3.5
TB,BAL,15,Sun,December 16,1:00PM,0,boxscore,12,20,370,2,241,1,-15.2%,8.5
TEN,NYG,15,Sun,December 16,1:00PM,0,boxscore,17,0,301,0,260,2,-4.8%,-2.5
WAS,JAX,15,Sun,December 16,1:00PM,0,boxscore,16,13,245,0,192,2,-18.5%,7.5
