Game,EGO,Spread,Spread Target,Pick
KC @ DEN,3.41,-3.0,"[0.5, -2.0]",
ARI @ NYG,-2.11,3.5,"[6.0, 3.5]",ARI
HOU @ IND,1.03,1.5,"[2.5, 0.5]",HOU
JAX @ CIN,3.09,-4.0,"[-4.5, -7.0]",
LAR @ ATL,2.03,-3.0,"[-3.5, -5.5]",
MIA @ BUF,-13.43,17.0,"[17.0, 15.0]",MIA
MIN @ DET,0.05,-2.5,"[-1.5, -4.0]",DET
OAK @ GB,-5.56,5.5,"[9.5, 7.0]",
SF @ WAS,8.87,-10.0,"[-10.5, -12.5]",
LAC @ TEN,0.74,3.0,"[3.0, 1.0]",LAC
BAL @ SEA,-2.75,3.0,"[6.5, 4.0]",
NO @ CHI,-0.57,4.0,"[4.5, 2.0]",NO
PHI @ DAL,-2.6,3.0,"[6.5, 4.0]",
NE @ NYJ,10.95,-9.5,"[-7.0, -9.5]",NE
