TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-20.8%,28,-17.5%,28,2-3-1,-0.2%,18,18.4%,30,-2.2%,23
ATL,-16.5%,27,-10.3%,25,1-5,4.3%,14,16.7%,29,-4.1%,30
BAL,12.8%,6,10.2%,10,4-2,13.3%,4,6.4%,22,5.8%,3
BUF,-3.2%,19,-5.8%,21,4-1,-10.2%,26,-13.1%,3,-6.1%,32
CAR,11.0%,15,8.3%,12,4-2,-4.6%,22,-12.6%,4,3.0%,7
CHI,8.2%,14,6.2%,14,3-2,-7.1%,23,-11.2%,5,4.2%,5
CIN,-35.7%,31,-26.8%,31,0-6,-19.3%,28,19.3%,31,2.9%,8
CLE,-15.8%,26,-10.0%,24,2-4,-15.9%,27,4.7%,21,4.8%,4
DAL,18.0%,5,13.8%,5,3-3,28.5%,2,8.2%,25,-2.3%,24
DEN,-1.0%,22,-4.6%,20,2-4,-4.1%,20,-7.5%,8,-4.3%,31
DET,5.8%,11,4.9%,15,2-2-1,-4.3%,21,-3.9%,12,6.3%,2
GB,17.8%,8,12.9%,7,5-1,8.7%,7,-8.9%,7,0.3%,13
HOU,6.8%,10,7.3%,13,4-2,5.4%,13,-1.9%,15,-0.5%,16
IND,-8.7%,23,-7.4%,23,3-2,5.8%,10,10.9%,28,-3.5%,27
JAX,0.5%,13,-3.0%,19,2-4,6.1%,9,9.0%,26,3.4%,6
KC,23.3%,3,20.6%,3,4-2,28.6%,1,4.2%,20,-1.1%,19
LAC,-5.8%,21,2.5%,16,2-4,3.6%,15,10.4%,27,1.0%,12
LAR,5.3%,17,8.8%,11,3-3,2.0%,17,-4.3%,11,-0.9%,18
MIA,-84.1%,32,-59.3%,32,0-5,-46.7%,32,35.3%,32,-2.1%,22
MIN,21.9%,7,15.2%,4,4-2,10.8%,5,-10.9%,6,0.2%,14
NE,53.5%,2,40.6%,1,6-0,7.5%,8,-47.1%,1,-1.2%,21
NO,11.2%,12,13.7%,6,5-1,2.3%,16,-2.3%,14,6.6%,1
NYG,-17.8%,25,-18.0%,29,2-4,-9.0%,25,6.5%,23,-2.4%,25
NYJ,-27.4%,30,-16.8%,27,1-4,-31.1%,31,-1.8%,16,1.9%,10
OAK,1.3%,18,-2.5%,18,3-2,5.7%,11,3.6%,19,-0.8%,17
PHI,13.2%,4,12.1%,9,3-3,9.7%,6,-2.3%,13,1.3%,11
PIT,-1.3%,20,-0.3%,17,2-4,-7.3%,24,-6.3%,9,-0.3%,15
SEA,14.3%,9,12.6%,8,5-1,21.6%,3,3.4%,18,-3.9%,28
SF,44.3%,1,24.1%,2,5-0,5.5%,12,-41.6%,2,-2.9%,26
TB,-2.2%,16,-5.8%,22,2-4,-2.6%,19,-1.6%,17,-1.2%,20
TEN,-19.4%,24,-10.9%,26,2-4,-20.4%,29,-5.0%,10,-3.9%,29
WAS,-28.7%,29,-24.6%,30,1-5,-22.6%,30,8.1%,24,1.9%,9
