Game,EGO,Spread,Spread Target,Pick
SD @ KC,1.14,-5.5,"[-2.5, -5.0]",
GB @ MIA,-3.25,5.5,"[7.0, 5.0]",GB
NE @ BUF,3.52,-5.5,"[-5.0, -7.0]",BUF
PHI @ TB,8.03,-6.0,"[-4.5, -6.5]",PHI
CAR @ CIN,-3.56,3.0,"[2.0, -0.0]",
DET @ NYJ,0.29,3.5,"[3.5, 1.0]",DET
JAC @ HOU,8.68,-8.0,"[-5.0, -7.0]",
PIT @ ATL,-2.79,-3.0,"[1.5, -1.0]",
DEN @ CLE,3.84,-4.5,"[-5.5, -7.5]",
ARI @ OAK,-1.08,-3.0,"[-0.5, -2.5]",
WAS @ IND,-4.36,8.5,"[8.0, 6.0]",
MIN @ SEA,-7.47,7.0,"[6.0, 4.0]",
NYG @ DAL,-1.41,3.0,"[5.0, 3.0]",NYG
