TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-32.9%,30,-27.2%,29,-27.0%,1-4,-23.4%,30,3.0%,20,-6.5%,31
ATL,9.8%,15,9.5%,13,23.3%,3-1,-8.9%,22,-26.2%,3,-7.5%,32
BAL,24.6%,3,13.5%,9,39.8%,4-1,-16.0%,27,-38.0%,1,2.5%,9
BUF,-10.1%,12,-15.8%,25,-13.2%,2-3,-10.0%,24,0.5%,18,0.4%,12
CAR,3.6%,17,7.4%,14,3.8%,3-2,2.7%,12,-3.7%,15,-2.8%,22
CHI,64.7%,1,40.4%,1,72.5%,5-0,19.5%,3,-34.2%,2,11.0%,1
CIN,8.2%,13,13.5%,8,8.4%,3-1,-0.1%,13,-5.3%,13,3.0%,8
CLE,-21.0%,24,-15.1%,23,-25.3%,1-4,-22.3%,28,8.4%,24,9.7%,2
DAL,14.6%,6,7.1%,15,11.6%,2-2,4.2%,10,-15.0%,10,-4.5%,27
DEN,6.0%,22,12.0%,10,-1.7%,3-1,-4.8%,17,-14.1%,11,-3.3%,25
DET,-21.6%,25,-15.3%,24,-29.3%,0-5,-7.2%,19,13.9%,28,-0.5%,15
GB,-20.6%,26,-16.9%,26,-28.4%,1-4,-6.1%,18,8.7%,25,-5.8%,30
HOU,-39.2%,29,-30.5%,30,-36.9%,1-3,-2.7%,14,39.6%,32,3.1%,7
IND,4.6%,10,15.5%,7,13.1%,5-0,17.5%,4,11.6%,27,-1.3%,18
JAC,28.0%,14,17.4%,5,33.9%,3-2,3.3%,11,-25.4%,4,-0.6%,16
KC,25.2%,5,17.3%,6,24.0%,2-2,-4.0%,16,-20.5%,6,8.7%,3
MIA,-22.9%,23,-12.2%,21,-8.0%,1-4,-22.5%,29,-3.4%,16,-3.9%,26
MIN,4.4%,19,-6.2%,20,-0.7%,3-2,-8.5%,21,-16.1%,9,-3.2%,24
NE,11.9%,11,9.9%,12,20.7%,4-1,12.6%,6,4.4%,21,3.7%,5
NO,11.1%,9,-6.0%,19,17.9%,4-1,4.4%,9,-3.0%,17,3.7%,6
NYG,17.8%,16,10.8%,11,14.9%,2-2,20.6%,2,2.5%,19,-0.3%,14
NYJ,-27.3%,18,-26.7%,28,-26.5%,2-3,-7.4%,20,18.9%,30,-1.0%,17
OAK,-51.9%,31,-32.4%,31,-60.1%,0-4,-38.3%,32,8.7%,26,-4.8%,28
PHI,45.5%,4,30.4%,3,40.0%,4-1,24.2%,1,-20.0%,7,1.3%,11
PIT,-1.2%,20,6.9%,16,-13.4%,1-3,-12.5%,25,-17.0%,8,-5.7%,29
SD,41.5%,2,32.5%,2,56.6%,3-1,13.0%,5,-24.2%,5,4.3%,4
SEA,-0.8%,21,18.2%,4,-5.2%,3-1,-9.8%,23,-10.5%,12,-1.4%,19
SF,-22.2%,27,-23.4%,27,-22.9%,2-3,-3.4%,15,17.0%,29,-1.7%,20
STL,16.2%,8,-2.2%,18,31.6%,4-1,11.6%,8,-4.6%,14,0.0%,13
TB,-22.4%,28,-14.8%,22,-31.9%,0-4,-14.4%,26,4.9%,22,-3.1%,23
TEN,-51.9%,32,-36.1%,32,-44.2%,0-5,-26.5%,31,23.6%,31,-1.8%,21
WAS,7.3%,7,5.7%,17,0.9%,2-3,12.5%,7,7.1%,23,2.0%,10
