Game,EGO,Spread,Spread Target,Pick
ARI @ TB,-7.64,3.5,"[6.0, 4.0]",
GB @ KC,3.15,2.5,"[0.5, -1.5]",
CAR @ TEN,-8.73,5.5,"[7.0, 5.0]",TEN
CIN @ BUF,-2.31,-1.0,"[1.0, -1.5]",BUF
DEN @ DET,-1.74,3.0,"[5.5, 3.0]",DEN
JAC @ NO,4.28,3.0,"[-0.5, -3.0]",
SF @ ATL,-7.8,3.5,"[6.5, 4.0]",
WAS @ NYJ,5.66,-3.5,"[-2.0, -4.0]",WAS
SD @ MIN,3.61,-7.0,"[-5.0, -7.5]",MIN
SEA @ CLE,0.07,1.5,"[3.5, 1.5]",SEA
HOU @ OAK,0.38,3.0,"[3.5, 1.0]",HOU
NE @ IND,0.67,-5.0,"[-2.0, -4.5]",
DAL @ PHI,3.41,-3.0,"[0.5, -2.0]",
BAL @ PIT,-7.89,9.5,"[11.5, 9.5]",BAL
