TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-23.7%,30,-24.0%,30,2-6,-11.3%,27,19.3%,30,6.9%,4
ATL,18.3%,10,18.6%,7,5-3,7.6%,13,-8.2%,5,2.6%,6
BAL,21.2%,6,18.8%,6,6-2,-0.4%,22,-26.4%,1,-4.7%,30
BUF,14.1%,2,12.6%,12,5-3,22.0%,4,7.2%,16,-0.7%,20
CAR,-9.1%,23,-7.6%,21,2-6,20.1%,6,21.0%,31,-8.2%,32
CHI,11.3%,15,11.1%,13,5-3,-0.7%,23,-3.1%,8,8.8%,2
CIN,8.3%,14,8.8%,15,6-2,5.6%,19,-0.2%,10,2.5%,7
CLE,-19.1%,24,-19.0%,26,3-5,-15.2%,30,4.2%,14,0.2%,14
DAL,8.0%,16,7.8%,16,4-4,9.5%,11,0.4%,12,-1.1%,23
DEN,-13.8%,28,-13.2%,24,3-5,-7.8%,24,8.2%,17,2.2%,8
DET,16.6%,9,16.7%,8,6-2,8.7%,12,-11.3%,3,-3.4%,28
GB,28.6%,1,28.2%,2,8-0,39.3%,1,10.7%,22,0.0%,16
HOU,25.6%,5,26.2%,3,6-3,20.3%,5,-3.7%,7,1.7%,9
IND,-41.4%,32,-41.3%,32,0-9,-9.6%,25,24.0%,32,-7.8%,31
JAC,-22.2%,29,-22.7%,29,2-6,-28.3%,32,-7.3%,6,-1.2%,24
KC,-21.4%,22,-19.5%,27,4-4,-14.2%,29,8.7%,19,1.5%,10
MIA,-9.2%,27,-8.0%,22,1-7,5.6%,18,15.7%,29,0.8%,11
MIN,-2.0%,20,-2.2%,18,2-6,7.0%,15,9.0%,20,0.1%,15
NE,16.4%,8,15.6%,10,5-3,30.5%,2,13.8%,26,-0.3%,18
NO,13.1%,11,12.9%,11,6-3,25.7%,3,11.5%,23,-1.0%,22
NYG,19.2%,7,21.6%,5,6-2,16.9%,8,-2.4%,9,-0.1%,17
NYJ,34.1%,3,35.1%,1,5-3,6.3%,17,-19.8%,2,8.1%,3
OAK,-8.9%,18,-9.9%,23,4-4,7.2%,14,14.4%,28,-1.7%,26
PHI,9.3%,13,9.6%,14,3-5,18.3%,7,8.5%,18,-0.5%,19
PIT,13.8%,12,16.1%,9,6-3,16.1%,9,2.6%,13,0.3%,13
SD,-7.1%,21,-7.5%,20,4-4,6.5%,16,12.2%,24,-1.5%,25
SEA,-19.7%,26,-19.8%,28,2-6,-10.8%,26,5.0%,15,-3.9%,29
SF,22.9%,4,22.5%,4,7-1,3.3%,21,-8.9%,4,10.7%,1
STL,-35.8%,31,-35.4%,31,1-7,-19.6%,31,13.4%,25,-2.8%,27
TB,-4.9%,19,-5.5%,19,4-4,5.2%,20,14.0%,27,3.9%,5
TEN,2.9%,17,2.3%,17,4-4,12.0%,10,9.6%,21,0.5%,12
WAS,-13.7%,25,-15.8%,25,3-5,-13.0%,28,-0.1%,11,-0.8%,21
