Game,EGO,Spread,Spread Target,Pick
OAK @ SD,-2.75,7.0,"[6.5, 4.0]",
ARI @ PHI,-9.4,13.0,"[13.0, 11.0]",ARI
BUF @ DAL,-1.17,4.5,"[5.0, 2.5]",BUF
HOU @ TB,4.9,-4.0,"[-1.0, -3.5]",
JAC @ IND,1.92,-3.0,"[-3.5, -5.5]",
PIT @ CIN,-0.61,-4.0,"[-1.0, -3.0]",
DEN @ KC,-0.84,3.5,"[4.5, 2.5]",DEN
NO @ ATL,-3.47,1.0,"[2.0, -0.0]",ATL
STL @ CLE,-5.77,3.0,"[4.5, 2.0]",CLE
WAS @ MIA,-3.92,4.0,"[7.5, 5.5]",
TEN @ CAR,-0.04,3.5,"[3.5, 1.5]",TEN
BAL @ SEA,6.49,-7.0,"[-8.0, -10.0]",
NYG @ SF,-2.42,4.0,"[6.0, 4.0]",NYG
DET @ CHI,-0.99,3.0,"[4.5, 2.5]",DET
NE @ NYJ,-6.43,2.5,"[5.0, 2.5]",NYJ
MIN @ GB,-8.73,13.0,"[12.5, 10.0]",
