Game,EGO,Spread,Spread Target,Pick
DAL @ CHI,2.32,-4.0,"[-4.0, -6.0]",CHI
BAL @ MIA,-0.41,3.0,"[4.0, 2.0]",BAL
NYJ @ MIN,-3.27,4.5,"[7.0, 5.0]",
PIT @ CIN,-0.32,3.0,"[4.0, 2.0]",PIT
TB @ DET,-9.13,10.5,"[13.0, 10.5]",TB
CAR @ NO,-9.81,9.0,"[8.5, 6.0]",
HOU @ JAC,2.9,-6.5,"[-4.5, -6.5]",JAC
IND @ CLE,1.19,-3.0,"[-2.5, -5.0]",CLE
NYG @ TEN,1.26,-3.0,"[-3.0, -5.0]",TEN
STL @ WAS,3.29,-3.0,"[0.5, -2.0]",
BUF @ DEN,-7.05,9.5,"[11.0, 8.5]",BUF
KC @ ARI,2.21,-2.5,"[-3.5, -6.0]",
SEA @ PHI,-3.01,-2.0,"[1.5, -0.5]",
SF @ OAK,5.29,-9.0,"[-7.0, -9.0]",OAK
NE @ SD,4.25,-4.0,"[-0.5, -3.0]",
ATL @ GB,-9.09,13.5,"[13.0, 10.5]",
