TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,22.0%,13,14.7%,12,4-2,4.2%,18,-17.4%,4,0.4%,13
ATL,7.7%,10,3.0%,17,4-2,9.9%,15,3.1%,19,0.9%,11
BAL,27.9%,9,25.2%,6,3-3,25.2%,5,-5.9%,11,-3.2%,26
BUF,-12.0%,23,-13.5%,24,3-4,-17.6%,24,-3.8%,14,1.8%,9
CAR,-29.8%,27,-23.6%,25,2-4,-17.1%,23,2.8%,18,-9.9%,32
CHI,-18.7%,19,-11.2%,23,3-3,-19.1%,27,6.1%,21,6.5%,3
CIN,5.1%,20,4.1%,16,5-2,15.0%,9,4.1%,20,-5.9%,28
CLE,-37.4%,26,-35.1%,28,1-6,-29.9%,31,20.5%,29,13.0%,1
DAL,21.5%,12,17.5%,10,4-2,26.8%,4,8.0%,22,2.7%,6
DEN,34.7%,6,23.6%,8,6-0,17.1%,7,-20.4%,3,-2.8%,24
DET,-57.2%,32,-48.4%,32,1-5,-27.9%,30,23.4%,30,-6.0%,29
GB,35.1%,8,27.5%,4,4-2,17.0%,8,-20.5%,1,-2.3%,23
HOU,-2.7%,18,-2.8%,20,4-3,12.7%,13,18.4%,27,3.0%,5
IND,42.4%,3,40.8%,1,6-0,33.4%,1,-9.1%,8,-0.1%,15
JAC,3.5%,15,6.2%,14,3-3,13.3%,11,11.1%,25,1.2%,10
KC,-31.6%,25,-29.5%,26,1-6,-22.7%,29,11.5%,26,2.7%,7
MIA,12.7%,14,7.1%,13,2-4,14.8%,10,1.1%,16,-1.0%,21
MIN,24.6%,7,24.2%,7,6-1,11.1%,14,-3.9%,13,9.5%,2
NE,38.6%,4,38.1%,2,5-2,30.9%,3,-7.9%,9,-0.2%,16
NO,43.1%,1,33.2%,3,6-0,32.5%,2,-16.4%,5,-5.7%,27
NYG,22.8%,5,22.0%,9,5-2,13.2%,12,-9.4%,7,0.2%,14
NYJ,3.4%,16,1.4%,18,4-3,-10.5%,20,-11.8%,6,2.0%,8
OAK,-49.7%,31,-47.2%,31,2-5,-38.0%,32,8.8%,23,-2.9%,25
PHI,33.0%,2,27.4%,5,4-2,8.4%,16,-20.4%,2,4.2%,4
PIT,14.6%,11,15.6%,11,5-2,22.6%,6,1.1%,17,-6.9%,31
SD,-4.0%,24,4.1%,15,3-3,5.6%,17,9.3%,24,-0.3%,18
SEA,-2.9%,17,-0.1%,19,2-4,-3.7%,19,0.0%,15,0.8%,12
SF,-6.6%,21,-9.6%,21,3-3,-10.9%,21,-6.1%,10,-1.8%,22
STL,-45.3%,28,-42.3%,30,0-7,-20.4%,28,24.0%,31,-0.9%,20
TB,-44.4%,29,-42.0%,29,0-7,-17.9%,26,25.7%,32,-0.8%,19
TEN,-44.7%,30,-33.4%,27,0-6,-17.8%,25,20.3%,28,-6.7%,30
WAS,-10.0%,22,-9.8%,22,2-5,-14.5%,22,-4.7%,12,-0.2%,17
