Game,EGO,Spread,Spread Target,Pick
CLE @ CHI,-7.36,13.5,"[11.0, 9.0]",
DEN @ BAL,-2.58,3.5,"[6.5, 4.0]",
HOU @ BUF,0.14,-3.5,"[-1.5, -4.0]",BUF
MIA @ NYJ,-0.97,3.5,"[4.5, 2.5]",MIA
NYG @ PHI,-3.4,-1.0,"[2.0, -0.5]",
SEA @ DAL,-6.03,9.5,"[9.5, 7.5]",SEA
SF @ IND,-12.81,13.5,"[16.5, 14.5]",
STL @ DET,-0.88,4.0,"[4.5, 2.5]",STL
JAC @ TEN,6.72,3.0,"[-3.0, -5.0]",
OAK @ SD,-12.99,16.5,"[16.5, 14.5]",OAK
CAR @ ARI,-10.36,10.0,"[9.0, 6.5]",
MIN @ GB,-2.94,3.0,"[6.5, 4.5]",
ATL @ NO,-8.69,12.0,"[12.5, 10.0]",ATL
