Game,EGO,Spread,Spread Target,Pick
GB @ DET,6.84,-3.0,"[-3.0, -5.5]",GB
NYJ @ DAL,-13.97,14.5,"[17.5, 15.5]",
IND @ ATL,10.33,-14.0,"[-12.0, -14.0]",ATL
OAK @ KC,-7.91,4.0,"[6.5, 4.0]",KC
SEA @ STL,6.84,-3.0,"[-3.0, -5.5]",SEA
TEN @ CIN,-1.39,-1.0,"[-0.0, -2.5]",CIN
WAS @ TB,-4.94,3.0,"[3.5, 1.0]",TB
BUF @ JAC,-5.84,9.0,"[9.5, 7.5]",BUF
HOU @ CLE,-6.66,3.0,"[5.0, 3.0]",CLE
MIN @ NYG,-3.99,7.5,"[7.5, 5.5]",MIN
NO @ CAR,-0.06,-3.0,"[-1.5, -3.5]",CAR
SF @ ARI,-13.45,10.5,"[12.0, 10.0]",ARI
BAL @ SD,-8.79,9.0,"[12.5, 10.5]",
DEN @ CHI,1.89,1.0,"[2.0, -0.5]",DEN
PHI @ NE,-17.04,24.5,"[20.5, 18.5]",
MIA @ PIT,-10.73,16.0,"[14.5, 12.0]",
