TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-1.1%,18,-0.4%,17,5-5,-2.2%,20,-2.6%,13,-1.5%,17
ATL,-23.0%,25,-22.3%,28,3-7,-14.6%,26,6.0%,22,-2.4%,20
BAL,-12.6%,20,-14.4%,23,4-6,-22.4%,31,-13.8%,6,-3.9%,27
BUF,-5.3%,17,-2.2%,18,5-5,-8.2%,23,3.4%,18,6.2%,4
CAR,-24.5%,27,-24.3%,29,4-6,-11.5%,24,5.5%,21,-7.5%,32
CHI,-18.5%,28,-17.5%,25,4-6,-20.9%,30,3.7%,20,6.2%,5
CIN,-2.3%,16,-3.1%,19,3-7,12.3%,8,14.7%,27,0.1%,15
CLE,5.4%,12,8.3%,10,6-4,12.6%,7,15.9%,29,8.7%,1
DAL,39.0%,3,38.4%,2,9-1,30.3%,2,-9.2%,7,-0.5%,16
DEN,1.8%,19,1.0%,15,5-5,11.5%,10,10.9%,24,1.3%,14
DET,-12.2%,22,-11.2%,21,6-4,-4.1%,22,1.5%,15,-6.5%,31
GB,28.4%,5,28.9%,4,9-1,18.7%,4,-7.1%,9,2.5%,10
HOU,-9.4%,23,-12.3%,22,5-5,-0.8%,19,10.6%,23,2.0%,12
IND,34.9%,2,32.5%,3,8-2,25.7%,3,-15.7%,4,-6.5%,30
JAC,13.5%,8,14.5%,8,7-3,12.1%,9,2.7%,17,4.1%,9
KC,-9.1%,24,-7.5%,20,4-6,-19.7%,29,-14.0%,5,-3.3%,25
MIA,-18.3%,26,-18.8%,27,0-10,-0.6%,18,15.4%,28,-2.2%,19
MIN,4.0%,15,3.8%,13,4-6,3.8%,13,1.8%,16,2.0%,11
NE,73.7%,1,74.2%,1,10-0,51.3%,1,-16.9%,3,5.5%,7
NO,-17.8%,21,-14.5%,24,4-6,3.7%,14,17.6%,31,-3.9%,26
NYG,9.9%,11,11.9%,9,7-3,7.0%,12,-5.8%,10,-2.8%,22
NYJ,-20.1%,29,-17.8%,26,2-8,-3.4%,21,23.1%,32,6.4%,3
OAK,-34.3%,31,-34.0%,31,2-8,-18.6%,27,13.2%,26,-2.5%,21
PHI,5.9%,13,2.5%,14,5-5,13.9%,6,3.6%,19,-4.4%,29
PIT,25.4%,4,21.3%,5,7-3,7.4%,11,-21.1%,1,-3.1%,23
SD,14.4%,7,16.3%,7,5-5,2.7%,15,-4.0%,12,7.8%,2
SEA,9.4%,9,8.1%,11,6-4,1.8%,16,-1.8%,14,5.8%,6
SF,-51.6%,32,-54.0%,32,2-8,-39.9%,32,16.3%,30,4.6%,8
STL,-34.2%,30,-32.0%,30,2-8,-19.0%,28,12.0%,25,-3.2%,24
TB,20.6%,6,20.3%,6,6-4,15.4%,5,-7.2%,8,-2.0%,18
TEN,2.7%,10,0.7%,16,6-4,-11.5%,25,-18.5%,2,-4.3%,28
WAS,7.5%,14,7.8%,12,5-5,0.9%,17,-5.0%,11,1.6%,13
