TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-48.1%,32,-36.9%,32,3-2,-39.0%,31,8.6%,24,-0.4%,15
ATL,21.2%,9,20.7%,4,4-1,9.6%,10,-10.6%,7,1.0%,12
BAL,11.4%,14,16.9%,8,4-1,8.3%,11,-1.7%,15,1.4%,11
BUF,-39.6%,30,-32.1%,30,0-5,-12.3%,24,29.2%,32,1.9%,9
CAR,-39.6%,29,-31.0%,29,0-5,-47.0%,32,-10.5%,8,-3.1%,25
CHI,-13.5%,27,-6.3%,21,4-1,-29.1%,30,-11.8%,6,3.9%,7
CIN,0.3%,16,-0.3%,17,2-3,-1.9%,19,-2.6%,14,-0.5%,16
CLE,-11.9%,19,-14.3%,25,1-4,-5.7%,22,5.3%,22,-0.8%,18
DAL,5.7%,8,4.3%,14,1-3,18.1%,7,10.6%,26,-1.7%,20
DEN,-14.4%,23,-12.1%,24,2-3,9.8%,9,20.6%,29,-3.6%,27
DET,-3.3%,24,-11.3%,23,1-4,-6.2%,23,3.3%,21,6.1%,4
GB,20.8%,4,19.2%,6,3-2,18.8%,6,-7.5%,10,-5.5%,28
HOU,-7.2%,15,-10.5%,22,3-2,20.3%,4,26.1%,31,-1.4%,19
IND,13.7%,11,15.9%,10,3-2,25.7%,2,8.7%,25,-3.3%,26
JAC,-16.6%,26,-15.6%,26,3-2,0.8%,17,24.9%,30,7.4%,2
KC,28.6%,2,16.8%,9,3-1,5.1%,15,-16.1%,5,7.4%,3
MIA,-11.2%,21,-1.6%,19,2-2,2.1%,16,3.1%,19,-10.2%,31
MIN,-11.1%,25,-1.1%,18,1-3,-19.1%,28,-8.8%,9,-0.8%,17
NE,32.9%,1,28.1%,1,3-1,42.0%,1,13.3%,27,4.2%,6
NO,7.0%,17,7.7%,13,3-2,6.8%,12,0.7%,17,1.0%,13
NYG,23.5%,10,19.4%,5,3-2,5.5%,14,-25.4%,1,-7.4%,30
NYJ,26.8%,3,22.9%,3,4-1,16.4%,8,-4.7%,12,5.7%,5
OAK,-35.8%,31,-34.1%,31,2-3,-16.7%,25,16.7%,28,-2.4%,23
PHI,17.9%,7,17.1%,7,3-2,19.9%,5,-0.3%,16,-2.2%,22
PIT,25.4%,6,25.9%,2,3-1,-3.3%,20,-25.0%,2,3.6%,8
SD,18.7%,5,12.4%,11,2-3,20.4%,3,-19.5%,3,-21.3%,32
SEA,6.7%,13,1.0%,15,2-2,-16.7%,26,-6.5%,11,16.9%,1
SF,-22.5%,28,-21.2%,27,0-5,-16.7%,27,3.2%,20,-2.6%,24
STL,-29.2%,22,-27.2%,28,2-3,-21.3%,29,1.9%,18,-6.0%,29
TB,-0.2%,18,-4.7%,20,3-1,-4.8%,21,-4.2%,13,0.5%,14
TEN,18.7%,12,11.6%,12,3-2,-0.8%,18,-17.7%,4,1.7%,10
WAS,-4.2%,20,0.3%,16,3-2,5.6%,13,8.0%,23,-1.8%,21
