Game,EGO,Spread,Spread Target,Pick
SD @ STL,6.72,-8.5,"[-8.0, -10.5]",STL
ATL @ PHI,-1.43,1.5,"[5.0, 3.0]",
BAL @ NE,-4.66,3.0,"[3.0, 1.0]",NE
CLE @ PIT,-10.75,14.0,"[14.5, 12.0]",CLE
MIA @ GB,-6.71,3.0,"[5.0, 3.0]",GB
NO @ TB,0.52,-5.5,"[-2.0, -4.0]",
SEA @ CHI,-0.61,6.0,"[4.5, 2.0]",
DET @ NYG,-8.79,10.0,"[12.5, 10.5]",
KC @ HOU,3.88,4.5,"[-0.0, -2.5]",
NYJ @ DEN,5.66,-3.5,"[-2.0, -4.0]",NYJ
OAK @ SF,-5.03,7.0,"[8.5, 6.5]",OAK
DAL @ MIN,-1.04,1.5,"[4.5, 2.5]",
IND @ WAS,1.23,-3.0,"[-2.5, -5.0]",WAS
TEN @ JAC,3.86,-3.0,"[-0.0, -2.5]",
