TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-12.7%,26,-10.1%,21,5-6,-13.8%,25,-6.9%,9,-5.8%,27
ATL,3.4%,17,3.6%,15,7-4,14.2%,6,9.9%,26,-0.9%,19
BAL,19.0%,8,21.1%,6,6-5,-14.7%,26,-24.4%,1,9.3%,1
BUF,-8.8%,23,-12.2%,23,6-5,-13.3%,24,0.4%,18,4.9%,8
CAR,11.3%,9,11.5%,9,8-3,-2.6%,18,-7.8%,7,6.1%,4
CHI,-19.1%,22,-17.4%,25,3-8,-15.6%,27,-2.4%,14,-5.9%,28
CIN,-7.6%,20,-8.3%,20,5-6,-6.9%,21,-0.2%,16,-0.9%,20
CLE,-29.9%,30,-27.1%,31,0-11,-23.0%,31,0.9%,20,-6.0%,29
DAL,-0.3%,15,-0.2%,17,5-6,7.5%,11,13.6%,28,5.8%,5
DEN,-19.2%,24,-22.4%,27,3-8,-16.8%,29,-5.9%,11,-8.3%,31
DET,8.3%,11,6.0%,11,6-5,1.9%,14,0.5%,19,6.9%,3
GB,4.9%,14,4.6%,14,5-6,5.3%,13,-0.1%,17,-0.5%,17
HOU,-2.6%,18,-5.6%,18,4-7,-2.6%,19,-2.1%,15,-2.1%,22
IND,-28.1%,31,-25.1%,29,3-8,-23.5%,32,8.6%,23,4.0%,9
JAC,12.5%,7,11.9%,8,7-4,-4.0%,20,-21.6%,2,-5.1%,26
KC,9.3%,10,3.6%,16,6-5,12.2%,8,8.6%,24,5.7%,6
LACH,3.3%,16,6.0%,12,5-6,8.3%,10,-4.6%,12,-9.7%,32
LARM,35.7%,4,38.2%,2,8-3,14.2%,7,-13.4%,5,8.1%,2
MIA,-35.5%,32,-36.2%,32,4-7,-20.9%,30,15.2%,31,0.5%,15
MIN,23.8%,5,24.7%,5,9-2,15.6%,4,-8.9%,6,-0.7%,18
NE,17.4%,6,19.5%,7,9-2,26.0%,2,13.9%,29,5.2%,7
NO,32.3%,2,33.9%,3,8-3,27.5%,1,-6.4%,10,-1.7%,21
NYG,-23.0%,28,-22.7%,28,2-9,-7.2%,22,8.4%,22,-7.5%,30
NYJ,-16.4%,27,-15.4%,24,4-7,-9.7%,23,4.5%,21,-2.2%,24
OAK,-6.7%,21,-6.0%,19,5-6,11.7%,9,19.8%,32,1.4%,13
PHI,35.6%,1,39.4%,1,10-1,15.8%,3,-16.7%,3,3.1%,10
PIT,29.3%,3,29.0%,4,9-2,15.0%,5,-13.7%,4,0.6%,14
SEA,8.7%,12,10.0%,10,7-4,1.0%,16,-7.7%,8,0.1%,16
SF,-25.7%,29,-25.7%,30,1-10,-16.0%,28,12.6%,27,3.0%,11
TB,-16.4%,25,-18.3%,26,4-7,1.7%,15,14.7%,30,-3.4%,25
TEN,-9.9%,19,-11.7%,22,7-4,-2.0%,17,9.4%,25,1.4%,12
WAS,7.7%,13,5.2%,13,5-6,5.7%,12,-4.2%,13,-2.2%,23
