Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.0 / -3.0,BAL,MIA,-,+3.0 / -3.0
+7.0 / -7.0,CLE,WAS,-,+7.0 / -7.0
-8.0 / 8.0,DAL,STL,-,-8.0 / 8.0
+3.0 / -3.0,DEN,NWE,-,+3.0 / -3.0
+11.5 / -11.5,DET,HOU,-,+11.5 / -11.5
-2.5 / 2.5,IND,GNB,-,-2.5 / 2.5
+3.0 / -3.0,MIN,CHI,-,+3.0 / -3.0
+3.0 / -3.0,NOR,CAR,-,+3.0 / -3.0
-3.0 / 3.0,NYJ,OAK,-,-3.0 / 3.0
-8.5 / 8.5,PIT,CIN,-,-8.5 / 8.5
+1.0 / -1.0,SDG,BUF,-,+1.0 / -1.0
+11.5 / -11.5,SEA,TAM,-,+11.5 / -11.5
+10.0 / -10.0,SFO,NYG,-,+10.0 / -10.0
-9.0 / 9.0,TEN,KAN,-,-9.0 / 9.0
