Game,EGO,Spread,Spread Target,Pick
DAL @ STL,10.86,-8.0,"[-7.0, -9.5]",DAL
TEN @ KC,12.8,-9.0,"[-9.0, -11.5]",TEN
BAL @ MIA,-0.19,3.0,"[4.0, 1.5]",BAL
MIN @ CHI,-4.05,3.0,"[2.5, 0.5]",
SD @ BUF,1.92,1.0,"[2.0, -0.5]",SD
SF @ NYG,-11.12,10.0,"[9.5, 7.5]",
NO @ CAR,-0.55,3.0,"[4.0, 2.0]",NO
PIT @ CIN,6.53,-8.5,"[-8.0, -10.0]",CIN
DET @ HOU,-7.68,11.5,"[11.5, 9.0]",DET
IND @ GB,-2.55,-2.5,"[1.0, -1.0]",
NYJ @ OAK,3.63,-3.0,"[0.0, -2.0]",
CLE @ WAS,-8.29,7.0,"[7.0, 4.5]",WAS
SEA @ TB,-11.08,11.5,"[15.0, 12.5]",
DEN @ NE,1.19,3.0,"[2.5, 0.5]",
