TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,22.0%,8,15.4%,7,4-2,19.5%,7,-1.5%,13,1.0%,19
ATL,8.2%,16,-4.8%,22,4-2,21.0%,5,17.2%,27,4.4%,5
BAL,19.9%,2,15.1%,8,2-3,-8.2%,25,-30.6%,1,-2.5%,26
BUF,0.5%,17,-4.1%,21,4-1,0.5%,17,5.0%,16,5.0%,3
CAR,5.8%,6,5.7%,16,4-2,5.4%,13,-2.4%,11,-2.0%,25
CHI,14.8%,11,11.2%,13,3-3,2.7%,14,-9.9%,7,2.2%,17
CIN,-34.7%,28,-25.6%,29,0-6,-27.5%,31,6.0%,17,-1.2%,24
CLE,-11.6%,26,-11.6%,24,2-3,-7.4%,23,8.8%,22,4.7%,4
DAL,8.3%,7,8.7%,14,4-2,24.7%,3,8.1%,21,-8.3%,30
DEN,5.4%,15,4.5%,17,4-2,26.6%,2,20.7%,29,-0.5%,21
DET,-50.1%,31,-46.4%,30,0-5,-22.4%,29,30.5%,30,2.7%,13
GB,8.6%,18,16.0%,6,3-3,2.0%,15,-3.0%,9,3.6%,8
HOU,-28.0%,29,-21.0%,27,1-4,-0.6%,19,31.2%,31,3.8%,7
IND,13.7%,24,14.5%,10,3-2,13.3%,11,-1.1%,14,-0.7%,22
JAC,-4.8%,25,-0.9%,20,3-3,8.7%,12,16.1%,25,2.6%,15
KC,-57.5%,30,-46.4%,31,1-4,-38.2%,32,16.1%,24,-3.2%,28
MIA,12.2%,10,5.9%,15,2-3,21.0%,6,-3.0%,10,-11.7%,31
MIN,-2.5%,19,2.8%,18,3-3,-7.7%,24,-17.9%,5,-12.8%,32
NE,-19.9%,23,-10.9%,23,3-2,-5.4%,21,19.7%,28,5.2%,2
NO,15.7%,13,13.3%,11,3-3,18.9%,8,6.1%,18,2.9%,11
NYG,34.6%,1,28.7%,2,4-1,39.2%,1,7.5%,20,2.9%,10
NYJ,4.2%,20,1.9%,19,3-2,-0.1%,18,-1.6%,12,2.7%,12
OAK,-24.3%,22,-24.3%,28,1-4,-17.3%,28,13.2%,23,6.2%,1
PHI,35.7%,3,34.4%,1,3-3,16.8%,9,-16.2%,6,2.6%,14
PIT,15.9%,9,13.2%,12,4-1,-7.2%,22,-19.9%,4,3.1%,9
SD,10.3%,14,14.5%,9,3-3,14.9%,10,6.8%,19,2.1%,18
SEA,-32.5%,27,-19.4%,26,1-4,-13.1%,27,16.8%,26,-2.6%,27
SF,-8.1%,21,-13.3%,25,2-4,-10.0%,26,2.3%,15,4.2%,6
STL,-55.6%,32,-48.3%,32,1-4,-26.1%,30,31.8%,32,2.2%,16
TB,24.2%,12,22.4%,3,4-2,1.5%,16,-22.8%,3,-0.2%,20
TEN,26.4%,4,18.7%,4,5-0,-3.4%,20,-30.5%,2,-0.8%,23
WAS,22.2%,5,16.7%,5,4-2,23.4%,4,-3.6%,8,-4.8%,29
