TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-11.2%,23,-6.5%,17,6-7,-16.2%,28,-11.9%,5,-6.8%,30
ATL,2.8%,14,1.8%,14,8-5,10.0%,8,6.5%,22,-0.7%,18
BAL,23.7%,5,24.7%,4,7-6,-5.8%,22,-19.5%,1,10.0%,1
BUF,-12.0%,22,-16.7%,25,7-6,-17.3%,29,-1.0%,15,4.3%,7
CAR,14.4%,10,14.4%,9,9-4,-0.4%,17,-10.8%,6,4.0%,8
CHI,-14.0%,26,-9.1%,19,4-9,-13.3%,26,-2.8%,14,-3.5%,25
CIN,-9.6%,18,-8.0%,18,5-8,-5.6%,21,4.4%,19,0.4%,16
CLE,-27.5%,30,-21.9%,30,0-13,-21.3%,30,0.6%,17,-5.6%,28
DAL,7.5%,12,13.3%,10,7-6,9.7%,9,9.0%,26,6.8%,3
DEN,-23.7%,32,-32.0%,32,4-9,-24.0%,32,-9.0%,7,-8.7%,32
DET,3.8%,15,-1.5%,16,7-6,3.3%,14,4.5%,20,5.1%,6
GB,4.6%,13,4.3%,13,7-6,3.4%,13,0.6%,16,1.7%,13
HOU,-9.7%,19,-14.0%,24,4-9,-5.3%,20,0.6%,18,-3.8%,26
IND,-26.9%,29,-20.8%,28,3-10,-22.2%,31,7.2%,24,2.5%,10
JAC,16.8%,8,19.6%,8,9-4,0.4%,16,-19.2%,2,-2.7%,23
KC,9.7%,11,-0.5%,15,7-6,13.1%,6,9.6%,27,6.2%,4
LACH,6.9%,16,12.6%,11,7-6,9.6%,10,-5.7%,10,-8.4%,31
LARM,35.4%,1,40.0%,1,9-4,15.3%,5,-12.0%,4,8.2%,2
MIA,-21.0%,31,-21.3%,29,6-7,-16.1%,27,7.6%,25,2.6%,9
MIN,20.0%,6,20.4%,7,10-3,12.7%,7,-8.1%,8,-0.8%,19
NE,18.2%,7,22.7%,5,10-3,25.1%,1,12.8%,30,6.0%,5
NO,30.8%,3,35.7%,2,9-4,24.7%,2,-7.8%,9,-1.7%,21
NYG,-26.9%,28,-26.2%,31,2-11,-11.0%,24,9.9%,29,-6.0%,29
NYJ,-18.4%,24,-13.6%,23,5-8,-9.2%,23,7.0%,23,-2.2%,22
OAK,-7.4%,21,-9.7%,20,6-7,8.7%,11,16.3%,32,0.2%,17
PHI,29.9%,2,33.9%,3,11-2,15.8%,4,-12.3%,3,1.7%,12
PIT,25.1%,4,22.6%,6,11-2,18.2%,3,-5.5%,11,1.3%,14
SEA,8.1%,9,10.6%,12,8-5,6.1%,12,-3.1%,13,-1.0%,20
SF,-20.9%,27,-19.8%,27,3-10,-13.0%,25,9.8%,28,1.9%,11
TB,-15.1%,25,-18.1%,26,4-9,2.1%,15,14.0%,31,-3.2%,24
TEN,-7.8%,20,-13.4%,22,8-5,-2.6%,18,6.0%,21,0.8%,15
WAS,-4.0%,17,-10.3%,21,5-8,-2.6%,19,-3.1%,12,-4.5%,27
