Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2017,ARI,WAS,15,Sun,1:00PM,0,-6.5%,4.0,-5,-1.0
2017,ATL,TB,15,Mon,8:30PM,0,1.8%,-7.0,3,-4.0
2017,BAL,CLE,15,Sun,1:00PM,0,24.7%,-6.5,17,10.5
2017,BUF,MIA,15,Sun,1:00PM,1,-16.7%,-3.5,8,4.5
2017,CAR,GB,15,Sun,1:00PM,1,14.4%,-3.0,7,4.0
2017,CHI,DET,15,Sat,4:30PM,0,-9.1%,5.0,-10,-5.0
2017,CIN,MIN,15,Sun,1:00PM,0,-8.0%,12.5,-27,-14.5
2017,CLE,BAL,15,Sun,1:00PM,1,-21.9%,6.5,-17,-10.5
2017,DAL,OAK,15,Sun,8:30PM,0,13.3%,-3.0,3,0.0
2017,DEN,IND,15,Thu,8:25PM,0,-32.0%,-3.0,12,9.0
2017,DET,CHI,15,Sat,4:30PM,1,-1.5%,-5.0,10,5.0
2017,GB,CAR,15,Sun,1:00PM,0,4.3%,3.0,-7,-4.0
2017,HOU,JAC,15,Sun,1:00PM,0,-14.0%,10.5,-38,-27.5
2017,IND,DEN,15,Thu,8:25PM,1,-20.8%,3.0,-12,-9.0
2017,JAC,HOU,15,Sun,1:00PM,1,19.6%,-10.5,38,27.5
2017,KC,LACH,15,Sat,8:25PM,1,-0.5%,-1.0,17,16.0
2017,LACH,KC,15,Sat,8:25PM,0,12.6%,1.0,-17,-16.0
2017,LARM,SEA,15,Sun,4:05PM,0,40.0%,-1.0,35,34.0
2017,MIA,BUF,15,Sun,1:00PM,0,-21.3%,3.5,-8,-4.5
2017,MIN,CIN,15,Sun,1:00PM,1,20.4%,-12.5,27,14.5
2017,NE,PIT,15,Sun,4:25PM,0,22.7%,-2.5,3,0.5
2017,NO,NYJ,15,Sun,1:00PM,1,35.7%,-16.5,12,-4.5
2017,NYG,PHI,15,Sun,1:00PM,1,-26.2%,7.5,-5,2.5
2017,NYJ,NO,15,Sun,1:00PM,0,-13.6%,16.5,-12,4.5
2017,OAK,DAL,15,Sun,8:30PM,1,-9.7%,3.0,-3,0.0
2017,PHI,NYG,15,Sun,1:00PM,0,33.9%,-7.5,5,-2.5
2017,PIT,NE,15,Sun,4:25PM,1,22.6%,2.5,-3,-0.5
2017,SEA,LARM,15,Sun,4:05PM,1,10.6%,1.0,-35,-34.0
2017,SF,TEN,15,Sun,4:25PM,1,-19.8%,-2.5,2,-0.5
2017,TB,ATL,15,Mon,8:30PM,1,-18.1%,7.0,-3,4.0
2017,TEN,SF,15,Sun,4:25PM,0,-13.4%,2.5,-2,0.5
2017,WAS,ARI,15,Sun,1:00PM,1,-10.3%,-4.0,5,1.0
