Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
GNB,2,2006,1.0,40.5,-7,-6.0,-1,1,0,0,NOR,0.0,2.0,15.0,48.0,31.0,66.0,0.0,67.0,26.0,70.0,11.0,67.0,34.0,63.0,45.0,22.0,0,0,0,100.0,59.0,100.0,56.0,39.0,58.0,60.0,74.0,38.0,48.0,75.0,78.0,69.0,44.0,82.0,57.0,69.0,45.0,85.0,40.0,56.0,100.0,58.0,74.0,48.0,78.0
HOU,2,2006,12.5,47.0,-19,-6.5,-1,0,0,0,IND,0.0,24.0,31.0,45.0,7.0,26.0,30.0,12.0,0.0,40.0,11.0,44.0,19.0,54.0,48.0,0.0,1,0,0,100.0,59.0,89.0,0.0,8.0,13.0,0.0,29.0,49.0,86.0,42.0,24.0,46.0,55.0,0.0,16.0,100.0,31.0,24.0,40.0,0.0,89.0,13.0,29.0,86.0,24.0
IND,2,2006,-12.5,47.0,19,6.5,1,1,0,0,HOU,100.0,59.0,46.0,55.0,0.0,16.0,100.0,31.0,24.0,40.0,0.0,89.0,13.0,29.0,86.0,24.0,0,0,0,0.0,24.0,44.0,11.0,32.0,19.0,50.0,54.0,70.0,48.0,19.0,0.0,31.0,45.0,7.0,26.0,30.0,12.0,0.0,40.0,11.0,44.0,19.0,54.0,48.0,0.0
JAX,2,2006,2.5,36.5,9,11.5,1,1,0,0,PIT,100.0,63.0,85.0,44.0,31.0,9.0,49.0,48.0,46.0,30.0,22.0,89.0,23.0,73.0,70.0,28.0,0,0,0,100.0,70.0,67.0,33.0,40.0,53.0,98.0,95.0,93.0,57.0,78.0,26.0,92.0,58.0,51.0,9.0,63.0,51.0,66.0,40.0,33.0,67.0,53.0,95.0,57.0,26.0
KAN,2,2006,11.0,38.0,-3,8.0,1,0,0,0,DEN,0.0,26.0,62.0,38.0,61.0,50.0,41.0,64.0,63.0,70.0,11.0,22.0,38.0,60.0,50.0,71.0,1,0,0,0.0,35.0,56.0,33.0,96.0,60.0,47.0,56.0,0.0,21.0,57.0,43.0,31.0,47.0,48.0,0.0,55.0,82.0,35.0,100.0,33.0,56.0,60.0,56.0,21.0,43.0
MIA,2,2006,-6.5,37.0,-10,-16.5,-1,1,0,0,BUF,0.0,30.0,8.0,49.0,42.0,91.0,49.0,37.0,34.0,60.0,33.0,67.0,5.0,47.0,74.0,43.0,0,0,0,0.0,46.0,67.0,33.0,46.0,32.0,47.0,31.0,56.0,37.0,48.0,65.0,31.0,49.0,52.0,88.0,30.0,51.0,30.0,30.0,33.0,67.0,32.0,31.0,37.0,65.0
MIN,2,2006,-2.0,37.5,3,1.0,1,1,0,0,CAR,100.0,56.0,62.0,48.0,46.0,54.0,73.0,64.0,61.0,50.0,0.0,89.0,27.0,66.0,67.0,55.0,0,0,0,0.0,24.0,56.0,11.0,44.0,17.0,28.0,0.0,28.0,40.0,34.0,66.0,0.0,22.0,35.0,70.0,13.0,64.0,8.0,70.0,11.0,56.0,17.0,0.0,40.0,66.0
NOR,2,2006,-1.0,40.5,7,6.0,1,0,0,0,GNB,100.0,59.0,69.0,44.0,82.0,57.0,69.0,45.0,85.0,40.0,56.0,100.0,58.0,74.0,48.0,78.0,1,0,0,0.0,2.0,67.0,11.0,53.0,34.0,78.0,63.0,17.0,45.0,34.0,22.0,15.0,48.0,31.0,66.0,0.0,67.0,26.0,70.0,11.0,67.0,34.0,63.0,45.0,22.0
NWE,2,2006,-6.0,38.5,7,1.0,1,0,0,0,NYJ,100.0,54.0,69.0,48.0,51.0,12.0,49.0,70.0,70.0,70.0,33.0,67.0,69.0,68.0,35.0,63.0,1,0,0,100.0,63.0,78.0,22.0,15.0,29.0,69.0,73.0,90.0,97.0,90.0,26.0,85.0,70.0,52.0,37.0,36.0,51.0,66.0,40.0,22.0,78.0,29.0,73.0,97.0,26.0
NYG,2,2006,3.0,42.0,6,9.0,1,0,0,0,PHI,0.0,41.0,54.0,100.0,45.0,84.0,69.0,0.0,76.0,60.0,11.0,100.0,71.0,87.0,76.0,14.0,1,0,0,100.0,76.0,89.0,56.0,50.0,46.0,68.0,81.0,81.0,100.0,30.0,52.0,69.0,93.0,55.0,74.0,88.0,70.0,100.0,60.0,56.0,89.0,46.0,81.0,100.0,52.0
NYJ,2,2006,6.0,38.5,-7,-1.0,-1,1,0,0,NWE,100.0,63.0,85.0,70.0,52.0,37.0,36.0,51.0,66.0,40.0,22.0,78.0,29.0,73.0,97.0,26.0,0,0,0,100.0,54.0,67.0,33.0,53.0,69.0,54.0,68.0,52.0,35.0,44.0,63.0,69.0,48.0,51.0,12.0,49.0,70.0,70.0,70.0,33.0,67.0,69.0,68.0,35.0,63.0
OAK,2,2006,13.0,34.0,-22,-9.0,-1,0,0,0,BAL,0.0,0.0,8.0,0.0,43.0,73.0,13.0,42.0,7.0,60.0,0.0,0.0,27.0,26.0,0.0,75.0,1,0,0,100.0,100.0,89.0,33.0,22.0,34.0,100.0,100.0,64.0,47.0,100.0,72.0,92.0,39.0,96.0,53.0,45.0,73.0,82.0,20.0,33.0,89.0,34.0,100.0,47.0,72.0
