Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.5 / -3.5,ATL,GNB,-,+3.5 / -3.5
+2.5 / -2.5,BUF,TAM,-,+2.5 / -2.5
+3.0 / -3.0,CAR,NOR,-,+3.0 / -3.0
+9.5 / -9.5,CLE,NWE,-,+9.5 / -9.5
+1.5 / -1.5,DAL,CHI,-,+1.5 / -1.5
+2.0 / -2.0,DET,PHI,-,+2.0 / -2.0
-3.5 / 3.5,HOU,JAX,-,-3.5 / 3.5
+7.0 / -7.0,IND,CIN,-,+7.0 / -7.0
-3.0 / 3.0,KAN,WAS,-,-3.0 / 3.0
+3.0 / -3.0,MIA,PIT,-,+3.0 / -3.0
+6.0 / -6.0,MIN,BAL,-,+6.0 / -6.0
+4.0 / -4.0,NYG,SDG,-,+4.0 / -4.0
+3.0 / -3.0,OAK,NYJ,-,+3.0 / -3.0
+2.0 / -2.0,SEA,SFO,-,+2.0 / -2.0
+4.5 / -4.5,STL,ARI,-,+4.5 / -4.5
+13.5 / -13.5,TEN,DEN,-,+13.5 / -13.5
