Game,EGO,Spread,Spread Target,Pick
HOU @ JAC,0.99,-3.5,"[-2.5, -4.5]",JAC
ATL @ GB,-3.14,3.5,"[7.0, 4.5]",
BUF @ TB,-3.49,2.5,"[2.0, -0.0]",
CLE @ NE,-12.02,9.5,"[10.5, 8.5]",NE
DET @ PHI,-4.18,2.0,"[2.5, 0.5]",PHI
IND @ CIN,-6.47,7.0,"[10.0, 8.0]",
MIA @ PIT,-2.92,3.0,"[6.5, 4.5]",
OAK @ NYJ,-4.9,3.0,"[3.5, 1.0]",NYJ
KC @ WAS,4.39,-3.0,"[-0.5, -3.0]",KC
MIN @ BAL,-3.73,6.0,"[7.5, 5.0]",MIN
TEN @ DEN,-10.16,13.5,"[14.0, 11.5]",TEN
NYG @ SD,-3.99,4.0,"[7.5, 5.5]",
STL @ ARI,-2.47,4.5,"[6.0, 4.0]",STL
SEA @ SF,3.18,2.0,"[0.5, -1.5]",
CAR @ NO,0.25,3.0,"[3.5, 1.0]",CAR
DAL @ CHI,-3.51,1.5,"[2.0, -0.0]",CHI
