TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-29.0%,30,-25.8%,31,1-4,-11.5%,30,18.6%,29,1.1%,11
ATL,12.0%,18,11.5%,9,3-3,10.7%,12,-0.8%,10,0.4%,15
BAL,27.8%,5,24.2%,1,4-1,0.1%,20,-29.5%,1,-1.8%,24
BUF,23.9%,1,18.5%,6,4-2,31.3%,3,8.1%,17,0.7%,13
CAR,-18.7%,24,-17.7%,27,1-5,12.9%,8,22.8%,32,-8.8%,32
CHI,-2.4%,25,-0.4%,19,3-3,-3.7%,25,10.7%,22,12.0%,2
CIN,12.3%,15,7.8%,12,4-2,3.5%,17,-7.1%,6,1.7%,8
CLE,-10.4%,23,-8.0%,23,2-3,-4.6%,26,7.1%,16,1.3%,10
DAL,8.0%,17,4.0%,17,2-3,3.9%,15,-7.1%,7,-3.0%,28
DEN,-8.9%,22,-10.4%,24,1-4,-3.2%,24,9.2%,20,3.6%,5
DET,9.5%,13,6.8%,13,5-1,3.5%,16,-8.9%,4,-2.9%,27
GB,25.4%,3,22.6%,3,6-0,35.8%,2,9.0%,19,-1.4%,21
HOU,5.5%,14,5.5%,16,3-3,9.7%,13,6.4%,15,2.2%,7
IND,-26.9%,29,-24.0%,30,0-6,-1.5%,22,17.7%,28,-7.7%,31
JAC,-27.6%,31,-22.0%,29,1-5,-26.8%,32,-0.4%,12,-1.1%,20
KC,-22.8%,28,-19.1%,28,2-3,-6.5%,28,16.5%,26,0.3%,16
MIA,-26.8%,26,-17.2%,26,0-5,-2.4%,23,22.3%,31,-2.1%,25
MIN,-1.5%,11,-1.7%,21,1-5,2.5%,19,3.4%,14,-0.6%,18
NE,21.1%,4,22.3%,4,5-1,37.4%,1,17.2%,27,0.8%,12
NO,10.4%,7,10.1%,10,4-2,22.6%,4,13.6%,24,1.4%,9
NYG,18.9%,12,16.8%,8,4-2,18.8%,7,-1.6%,8,-1.6%,23
NYJ,25.2%,6,23.5%,2,3-3,-1.4%,21,-15.3%,2,11.3%,3
OAK,13.6%,9,8.4%,11,4-2,21.6%,5,10.6%,21,2.6%,6
PHI,1.8%,21,5.9%,15,2-4,11.6%,10,8.8%,18,-1.0%,19
PIT,13.0%,10,16.9%,7,4-2,11.8%,9,-1.3%,9,-0.1%,17
SD,-7.5%,19,0.8%,18,4-1,6.5%,14,10.9%,23,-3.1%,29
SEA,-15.2%,27,-16.6%,25,2-3,-8.7%,29,3.3%,13,-3.1%,30
SF,27.5%,2,21.1%,5,5-1,2.9%,18,-11.2%,3,13.4%,1
STL,-36.9%,32,-30.6%,32,0-5,-15.8%,31,19.7%,30,-1.5%,22
TB,0.2%,20,-1.2%,20,4-2,11.5%,11,16.3%,25,5.0%,4
TEN,17.0%,8,6.7%,14,3-2,19.1%,6,-0.7%,11,-2.7%,26
WAS,1.6%,16,-1.8%,22,3-2,-6.2%,27,-7.2%,5,0.6%,14
