Game,EGO,Spread,Spread Target,Pick
DEN @ MIA,-0.73,-1.0,"[-1.0, -3.0]",MIA
HOU @ TEN,-2.49,2.5,"[6.0, 4.0]",
SD @ NYJ,-7.11,-1.0,"[5.5, 3.5]",
ATL @ DET,-1.19,4.5,"[5.0, 2.5]",ATL
CHI @ TB,-2.05,-2.0,"[0.5, -1.5]",
SEA @ CLE,-4.1,3.0,"[2.5, 0.5]",
WAS @ CAR,1.3,2.5,"[2.5, 0.0]",WAS
PIT @ ARI,7.44,-4.5,"[-3.5, -6.0]",PIT
GB @ MIN,3.2,-11.0,"[-4.5, -7.0]",
STL @ DAL,-9.6,14.0,"[13.5, 11.0]",
KC @ OAK,-8.12,3.5,"[6.5, 4.5]",
IND @ NO,-9.5,14.0,"[13.0, 11.0]",
BAL @ JAC,8.27,-10.5,"[-10.0, -12.0]",JAC
