Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
LAR,SFO,2019,6,1,-3.0,1.3,-56.8,-9.77,-12.77,32.0,100.0,0.0,-0.8640973549490426,87.0,59.0,0.0,-0.6498532323777251,30.0,83.0,-2.0693578938919615,0.5642942546736326,61.0,100.0,0.0,0.11813026678106128,84.0,91.0,21.02574722459437,-0.7277528086107731,49.0,47.0,0.0,0.1949668976907084,-1,1,-13,-16.0,-1
MIA,WAS,2019,6,1,6.0,-90.9,-58.60000000000001,-10.16,-4.16,7.0,58.0,0.0,0.16583193048558648,26.0,21.0,-1.7604761904761919,0.9964480824391196,0.0,28.0,0.0,0.9353931821960917,0.0,12.0,0.0,-0.26982913010999343,25.0,37.0,0.0,0.9833090455198148,17.0,41.0,0.0,-0.5410996326659216,-1,-1,-1,5.0,1
MIN,PHI,2019,6,1,-3.5,13.7,-7.900000000000002,0.57,-2.93,53.0,87.0,0.0,-0.2606012487657655,75.0,42.0,6.887112360404158,0.8937434424998321,77.0,100.0,-7.810035252643953,0.6015279133408635,78.0,41.0,0.0,-0.9652253765117539,32.0,32.0,0.0,0.9930121933540409,73.0,47.0,0.0,-0.40276118311375897,-1,-1,18,14.5,1
NOR,JAX,2019,6,0,2.5,5.6,0.2999999999999998,-2.11,0.3900000000000001,58.0,71.0,0.5609152215799575,0.4466122435048175,87.0,58.0,0.0,0.27702394520172746,36.0,35.0,0.0,-0.7120518000159839,60.0,58.0,0.0,-0.6735002154346317,54.0,48.0,-1.6969084099421234,0.3399073751504982,42.0,58.0,0.0,0.6771782043418291,1,1,7,9.5,1
NWE,NYG,2019,6,1,-16.5,55.1,68.4,15.37,-1.1300000000000008,100.0,75.0,0.0,0.04567668476119259,87.0,42.0,0.0,0.6997800587540899,32.0,41.0,10.750820624546126,0.9751253285140876,87.0,43.0,1.5143035213462124,0.6872482884673536,68.0,27.0,17.077310924369748,0.8329095521001358,100.0,56.0,0.0,-0.04379028665649399,-1,-1,21,4.5,1
NYG,NWE,2019,6,0,16.5,-13.3,-68.4,-15.37,1.1300000000000008,42.0,87.0,0.0,0.5966349153015127,75.0,100.0,0.0,0.6458489505586501,43.0,87.0,-6.741647157190631,0.5110178779182712,41.0,32.0,6.219241633404966,0.9730016427510377,56.0,100.0,0.0,0.774801448670422,27.0,68.0,0.0,-0.43117471296267856,1,-1,-21,-4.5,-1
NYJ,DAL,2019,6,1,7.0,-37.9,-58.6,-10.16,-3.16,13.0,96.0,0.0,-0.757961482376031,0.0,37.0,-16.74735512630015,-0.821404480862605,10.0,66.0,-9.850942928039698,-0.6472760239031982,78.0,60.0,0.0,0.9438885154536449,0.0,63.0,-10.096175799086756,-0.5721123715592814,39.0,82.0,0.0,-0.9438885154536447,-1,-1,2,9.0,1
PHI,MIN,2019,6,0,3.5,21.6,7.900000000000002,-0.57,2.93,42.0,75.0,-2.712828565282857,0.6636980427788011,87.0,53.0,4.614739446420289,-0.3372444248481171,41.0,78.0,0.0,-0.3921640580354947,100.0,77.0,0.0,0.32892601407684297,47.0,73.0,0.0,-0.5294199940687127,32.0,32.0,4.788305358948431,0.8452459544291588,1,-1,-18,-14.5,-1
PIT,LAC,2019,6,0,6.0,-2.8,3.1000000000000005,-1.55,4.45,74.0,75.0,0.0,0.08333995147537035,100.0,37.0,0.0,0.011003220017007057,10.0,50.0,7.44454073410922,0.7220085086995133,44.0,26.0,8.419213947738614,0.44806742235988756,41.0,67.0,8.513335999999997,-0.6436443238612124,58.0,70.0,0.0,0.2962928378612177,1,1,7,13.0,1
SEA,CLE,2019,6,0,1.0,12.6,26.8,3.34,4.34,26.0,54.0,5.441226193826811,0.779951590657358,66.0,58.0,0.0,0.2752191665728165,48.0,22.0,0.0,0.9340277854724585,85.0,41.0,0.0,-0.37569909692575404,63.0,72.0,0.0,0.4001946118110906,33.0,47.0,0.0,0.3019486654866915,1,1,4,5.0,1
SFO,LAR,2019,6,0,3.0,58.1,56.8,9.77,12.77,59.0,87.0,-4.18288045183559,0.9456500033741133,100.0,32.0,6.960244058267306,0.628476474785931,100.0,61.0,0.0,0.8859901421775794,83.0,30.0,0.0,-0.46742766099621,47.0,49.0,0.0,-0.19104606970348487,91.0,84.0,0.0,-0.6963099967505892,1,1,13,16.0,1
TAM,CAR,2019,6,1,2.0,2.4,-1.0,1.97,3.97,32.0,62.0,0.0,-0.00897471231944269,45.0,79.0,0.0,0.12717760691437818,39.0,37.0,0.0,-0.23393383648352983,94.0,62.0,0.0,0.061701951188108936,56.0,78.0,12.388926491994177,-0.5848704180668127,0.0,47.0,0.0,-0.6433053203365512,1,-1,-11,-9.0,-1
TEN,DEN,2019,6,0,1.0,-9.3,-2.200000000000001,-2.62,-1.62,63.0,62.0,0.0,-0.23296988711745104,28.0,0.0,10.891813348258008,0.8528904565567134,43.0,44.0,0.0,0.0037100977711908567,63.0,45.0,-0.1302123919730569,0.9901018017387304,32.0,75.0,0.0,0.6363394093438035,59.0,48.0,0.0,-0.7642833458073988,-1,1,-16,-15.0,-1
WAS,MIA,2019,6,0,-6.0,-32.3,58.60000000000001,10.16,4.16,21.0,26.0,0.0,-0.6869707393405534,58.0,7.0,0.0,0.421199278732558,12.0,0.0,0.0,-0.06332330271415719,28.0,0.0,0.0,-0.7389422479771944,41.0,17.0,-11.733527228870955,-0.193627757656932,37.0,25.0,-14.119416835699797,-0.5436895554045375,1,-1,1,-5.0,-1
ARI,NYG,2019,7,0,3.5,-20.8,-3.0,-2.78,0.7200000000000002,45.0,78.0,0.0,0.3239690985665333,39.0,55.0,-9.74635742712703,0.7248002852689339,45.0,51.0,0.0,0.05811397999803813,46.0,33.0,-4.0364412811387895,0.18882085583857683,54.0,0.0,0.6390318729855549,0.6116735341278493,3.0,43.0,0.0,-0.20300520876236564,1,1,6,9.5,1
ATL,LAR,2019,7,1,3.0,-16.5,-21.8,-2.29,0.71,0.0,78.0,0.13246098851996635,-0.7456161965983256,70.0,40.0,0.0,0.8651431633619431,11.0,71.0,0.0,-0.051484434351564495,60.0,28.0,0.0,-0.0675780829982728,88.0,32.0,0.0,0.6040083764769297,10.0,64.0,0.0,-0.25638178345038126,1,-1,-27,-24.0,-1
BAL,SEA,2019,7,0,3.0,12.8,-1.5,-2.48,0.52,30.0,61.0,-6.469391161017821,-0.4411475212830065,61.0,25.0,0.0,0.07733436879993857,100.0,82.0,0.0,-0.3154493666476209,93.0,50.0,0.0,0.4824726766878244,49.0,13.0,-0.8991543810848484,0.5373341579120151,11.0,61.0,-5.69727640813388,-0.27723878007684505,1,1,14,17.0,1
