Game,EGO,Spread,Spread Target,Pick
CHI @ DET,8.34,-3.0,"[-4.5, -7.0]",
WAS @ DAL,-0.28,7.0,"[4.0, 2.0]",
ATL @ NO,-8.64,11.5,"[12.5, 10.0]",ATL
CLE @ CIN,-3.75,-1.0,"[2.0, 0.0]",
JAX @ BUF,2.52,-3.0,"[-4.0, -6.0]",
NE @ NYJ,5.03,-13.0,"[-6.5, -8.5]",
NYG @ PHI,-0.99,4.5,"[4.5, 2.5]",NYG
OAK @ BAL,-10.86,13.0,"[14.5, 12.5]",OAK
SEA @ CAR,-1.5,3.0,"[5.0, 3.0]",SEA
SF @ TB,-0.5,1.5,"[4.0, 2.0]",
ARI @ LAC,-12.69,14.0,"[16.5, 14.0]",ARI
MIA @ IND,-6.77,9.0,"[10.5, 8.5]",MIA
PIT @ DEN,-1.01,-3.0,"[-0.5, -2.5]",
GB @ MIN,-0.48,3.5,"[4.0, 2.0]",GB
TEN @ HOU,-6.3,3.5,"[5.0, 2.5]",HOU
