TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-30.8%,32,-29.8%,32,2-8,-37.8%,31,-6.9%,9,0.2%,15
ATL,-5.5%,22,-4.7%,16,4-6,14.3%,7,20.9%,32,1.1%,12
BAL,12.6%,7,11.6%,10,5-5,4.1%,13,-8.5%,7,0.1%,17
BUF,-28.5%,30,-26.5%,30,3-7,-43.2%,32,-14.8%,2,-0.1%,19
CAR,5.1%,12,5.3%,15,6-4,10.1%,8,5.7%,25,0.7%,13
CHI,22.4%,4,24.0%,4,7-3,5.7%,12,-20.9%,1,-4.2%,29
CIN,-5.7%,21,-8.6%,20,5-5,0.0%,16,6.3%,27,0.6%,14
CLE,-15.5%,25,-15.6%,25,3-6-1,-18.1%,29,-7.8%,8,-5.2%,31
DAL,-13.0%,23,-13.5%,24,5-5,-9.6%,24,1.9%,21,-1.5%,23
DEN,14.6%,9,16.4%,7,4-6,6.4%,11,-11.0%,4,-2.8%,26
DET,-24.7%,29,-22.5%,28,4-6,-5.8%,19,18.6%,30,-0.3%,20
GB,13.9%,10,15.3%,8,4-5-1,15.1%,6,-0.8%,15,-2.0%,25
HOU,5.3%,13,5.9%,14,7-3,-10.2%,25,-13.3%,3,2.2%,8
IND,9.0%,15,10.9%,11,5-5,6.8%,10,0.1%,18,2.4%,7
JAX,-4.2%,17,-5.2%,18,3-7,-16.1%,28,-8.9%,6,2.9%,5
KC,42.4%,1,42.1%,1,9-2,39.5%,1,5.7%,26,8.6%,1
LAC,19.5%,3,20.0%,6,7-3,22.4%,4,-3.5%,11,-6.4%,32
LAR,32.1%,2,31.4%,2,10-1,31.3%,2,-0.6%,16,0.1%,16
MIA,-7.3%,20,-10.2%,21,5-5,-7.2%,21,4.6%,23,4.5%,3
MIN,6.1%,14,7.4%,13,5-4-1,-2.6%,17,-10.4%,5,-1.8%,24
NE,9.7%,11,11.7%,9,7-3,9.9%,9,0.1%,17,-0.1%,18
NO,21.8%,6,25.3%,3,9-1,24.1%,3,4.7%,24,2.5%,6
NYG,-9.1%,24,-7.6%,19,3-7,-2.7%,18,7.7%,28,1.4%,11
NYJ,-18.5%,27,-20.6%,27,3-7,-27.3%,30,-3.4%,12,5.4%,2
OAK,-27.6%,31,-29.1%,31,2-8,-6.1%,20,17.5%,29,-4.0%,28
PHI,-13.3%,18,-13.2%,23,4-6,-7.9%,22,4.2%,22,-1.3%,22
PIT,19.2%,5,21.9%,5,7-2-1,16.8%,5,-3.3%,13,-1.0%,21
SEA,9.0%,8,8.6%,12,5-5,3.4%,14,-3.9%,10,1.7%,10
SF,-18.3%,26,-18.4%,26,2-8,-14.2%,27,1.0%,19,-3.1%,27
TB,-23.4%,28,-26.2%,29,3-7,1.0%,15,20.2%,31,-4.2%,30
TEN,-14.1%,16,-13.0%,22,5-5,-14.1%,26,1.8%,20,1.8%,9
WAS,-3.7%,19,-4.7%,17,6-4,-8.3%,23,-1.4%,14,3.1%,4
