Game,EGO,Spread,Spread Target,Pick
ATL @ CAR,-1.92,1.5,"[0.5, -2.0]",
DAL @ PHI,-4.44,11.0,"[8.0, 6.0]",
IND @ DET,0.52,-3.0,"[-2.0, -4.0]",DET
LAC @ DEN,0.74,-3.5,"[-2.0, -4.5]",DEN
LAR @ MIA,2.23,-3.5,"[-3.5, -6.0]",MIA
LV @ CLE,-2.16,2.0,"[6.0, 3.5]",
MIN @ GB,-4.34,6.5,"[8.0, 6.0]",MIN
NE @ BUF,-5.24,4.5,"[3.5, 1.5]",
NO @ CHI,2.39,-4.0,"[-4.0, -6.0]",CHI
NYJ @ KC,-13.09,19.5,"[17.0, 14.5]",
PIT @ BAL,-3.34,4.0,"[7.0, 5.0]",
SF @ SEA,-2.29,3.0,"[6.0, 4.0]",
TB @ NYG,7.51,-12.5,"[-9.0, -11.0]",
TEN @ CIN,3.98,-7.0,"[-5.5, -7.5]",CIN
