Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ATL,CAR,8,Thu,October 29,8:20PM,0,boxscore,25,17,401,1,304,1,-4.9%,1.5
BAL,PIT,8,Sun,November 1,1:00PM,1,preview,,,,,,,22.2%,-4.0
BUF,NE,8,Sun,November 1,1:00PM,1,preview,,,,,,,3.9%,-4.5
CAR,ATL,8,Thu,October 29,8:20PM,1,boxscore,17,25,401,1,304,1,-6.3%,-1.5
CHI,NO,8,Sun,November 1,4:25PM,1,preview,,,,,,,-2.2%,4.0
CIN,TEN,8,Sun,November 1,1:00PM,1,preview,,,,,,,-19.6%,7.0
CLE,LV,8,Sun,November 1,1:00PM,1,preview,,,,,,,-7.2%,-2.0
DAL,PHI,8,Sun,November 1,8:20PM,0,preview,,,,,,,-17.0%,11.0
DEN,LAC,8,Sun,November 1,4:05PM,1,preview,,,,,,,-15.8%,3.5
DET,IND,8,Sun,November 1,1:00PM,1,preview,,,,,,,2.5%,3.0
GB,MIN,8,Sun,November 1,1:00PM,1,preview,,,,,,,7.9%,-6.5
IND,DET,8,Sun,November 1,1:00PM,0,preview,,,,,,,14.9%,-3.0
KC,NYJ,8,Sun,November 1,1:00PM,1,preview,,,,,,,23.6%,-19.5
LAC,DEN,8,Sun,November 1,4:05PM,0,preview,,,,,,,-2.4%,-3.5
LAR,MIA,8,Sun,November 1,1:00PM,0,preview,,,,,,,13.3%,-3.5
LV,CLE,8,Sun,November 1,1:00PM,0,preview,,,,,,,-6.9%,2.0
MIA,LAR,8,Sun,November 1,1:00PM,1,preview,,,,,,,-6.7%,3.5
MIN,GB,8,Sun,November 1,1:00PM,0,preview,,,,,,,-1.8%,6.5
NE,BUF,8,Sun,November 1,1:00PM,0,preview,,,,,,,-10.0%,4.5
NO,CHI,8,Sun,November 1,4:25PM,0,preview,,,,,,,18.5%,-4.0
NYG,TB,8,Mon,November 2,8:15PM,1,preview,,,,,,,-15.8%,12.5
NYJ,KC,8,Sun,November 1,1:00PM,0,preview,,,,,,,-28.2%,19.5
PHI,DAL,8,Sun,November 1,8:20PM,1,preview,,,,,,,-6.8%,-11.0
PIT,BAL,8,Sun,November 1,1:00PM,0,preview,,,,,,,17.1%,4.0
SEA,SF,8,Sun,November 1,4:25PM,1,preview,,,,,,,12.4%,-3.0
SF,SEA,8,Sun,November 1,4:25PM,0,preview,,,,,,,12.1%,3.0
TB,NYG,8,Mon,November 2,8:15PM,0,preview,,,,,,,27.2%,-12.5
TEN,CIN,8,Sun,November 1,1:00PM,0,preview,,,,,,,8.1%,-7.0
