Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+1.5 / -1.5,ARI,DAL,-,+1.5 / -1.5
+2.5 / -2.5,BAL,PIT,-,+2.5 / -2.5
-3.0 / 3.0,DEN,NWE,-,-3.0 / 3.0
-3.0 / 3.0,IND,NYG,-,-3.0 / 3.0
+10.0 / -10.0,JAX,CIN,-,+10.0 / -10.0
-3.0 / 3.0,NOR,CAR,-,-3.0 / 3.0
+8.5 / -8.5,NYJ,KAN,-,+8.5 / -8.5
+13.5 / -13.5,OAK,SEA,-,+13.5 / -13.5
-2.0 / 2.0,PHI,HOU,-,-2.0 / 2.0
+3.0 / -3.0,SDG,MIA,-,+3.0 / -3.0
+10.5 / -10.5,STL,SFO,-,+10.5 / -10.5
+7.0 / -7.0,TAM,CLE,-,+7.0 / -7.0
+0.0 / -0.0,WAS,MIN,-,+0.0 / -0.0
