Game,EGO,Spread,Spread Target,Pick
NO @ CAR,2.36,-3.0,"[-4.0, -6.0]",
JAC @ CIN,-8.96,10.0,"[12.5, 10.5]",
SD @ MIA,-2.27,3.0,"[6.0, 4.0]",
TB @ CLE,-11.37,7.0,"[10.0, 7.5]",
NYJ @ KC,-9.56,8.5,"[8.0, 6.0]",
PHI @ HOU,1.6,-2.0,"[-3.0, -5.5]",
WAS @ MIN,1.78,0.0,"[2.0, -0.5]",WAS
ARI @ DAL,-4.34,1.5,"[3.0, 0.5]",DAL
STL @ SF,-6.66,10.5,"[10.5, 8.0]",STL
DEN @ NE,6.91,-3.0,"[-3.0, -5.5]",DEN
OAK @ SEA,-10.14,13.5,"[14.0, 11.5]",OAK
BAL @ PIT,1.3,2.5,"[2.5, 0.0]",BAL
IND @ NYG,1.3,-3.0,"[-3.0, -5.0]",NYG
