TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-1.0%,15,-1.2%,18,6-1,-10.3%,25,-8.1%,7,1.3%,15
ATL,-2.4%,18,-2.8%,19,2-6,9.1%,9,15.4%,32,3.9%,7
BAL,26.0%,2,26.1%,2,5-3,11.3%,7,-10.7%,5,4.0%,6
BUF,3.2%,16,3.1%,16,5-3,-16.6%,28,-13.7%,3,6.1%,2
CAR,-14.8%,25,-14.7%,26,3-4-1,-2.7%,20,11.1%,28,-1.0%,19
CHI,-8.6%,19,-9.0%,24,3-5,3.3%,14,5.8%,23,-6.1%,30
CIN,6.7%,13,6.0%,14,4-2-1,0.3%,16,-3.1%,12,3.3%,9
CLE,-0.3%,17,-0.5%,17,4-3,2.9%,15,3.4%,20,0.1%,18
DAL,8.5%,7,8.5%,11,6-2,12.9%,6,2.9%,19,-1.5%,21
DEN,47.6%,1,47.7%,1,6-1,31.8%,1,-17.5%,2,-1.7%,22
DET,6.2%,12,6.1%,13,6-2,-10.8%,26,-23.6%,1,-6.6%,31
GB,15.0%,3,14.8%,5,5-3,14.9%,5,1.8%,18,1.9%,13
HOU,-4.8%,23,-4.8%,21,4-4,-2.5%,19,-2.5%,13,-4.8%,27
IND,11.0%,5,11.0%,7,5-3,9.7%,8,3.7%,21,4.9%,3
JAC,-26.1%,31,-25.5%,31,1-7,-27.1%,31,-3.9%,11,-2.9%,25
KC,15.1%,9,15.2%,4,4-3,5.1%,13,-5.2%,9,4.8%,5
MIA,8.8%,10,9.0%,9,4-3,5.2%,12,-11.9%,4,-8.4%,32
MIN,-24.4%,30,-24.5%,30,3-5,-27.7%,32,-0.9%,15,2.4%,12
NE,7.0%,11,7.3%,12,6-2,7.5%,11,5.4%,22,4.9%,4
NO,5.5%,21,5.9%,15,3-4,18.0%,2,13.7%,30,1.2%,16
NYG,-4.6%,22,-4.9%,22,3-4,-2.3%,18,0.3%,16,-1.9%,23
NYJ,-19.2%,27,-19.2%,28,1-7,-21.3%,29,1.3%,17,3.3%,8
OAK,-19.4%,29,-19.0%,27,0-7,-16.0%,27,6.4%,25,3.1%,10
PHI,12.4%,6,12.4%,6,5-2,-3.7%,23,-6.0%,8,10.1%,1
PIT,10.0%,14,10.2%,8,5-3,15.9%,4,8.4%,26,2.5%,11
SD,8.8%,8,8.8%,10,5-3,16.6%,3,9.2%,27,1.4%,14
SEA,18.8%,4,18.2%,3,4-3,8.3%,10,-10.2%,6,0.3%,17
SF,-3.6%,20,-3.7%,20,4-3,-3.1%,21,-4.4%,10,-4.9%,28
STL,-24.6%,28,-24.3%,29,2-5,-8.6%,24,14.0%,31,-2.0%,24
TB,-43.9%,32,-43.7%,32,1-6,-26.5%,30,12.8%,29,-4.6%,26
TEN,-10.6%,26,-10.2%,25,2-6,-3.7%,22,5.9%,24,-1.0%,20
WAS,-6.5%,24,-6.5%,23,3-5,-2.2%,17,-1.2%,14,-5.5%,29
