TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,7.7%,10,8.6%,10,3-3-1,-7.2%,25,-21.5%,4,-6.6%,30
ATL,18.2%,6,16.2%,5,4-3,20.3%,2,8.1%,26,6.0%,3
BAL,-3.1%,15,-2.3%,19,3-4,-18.0%,30,-14.1%,6,0.8%,13
BUF,14.1%,3,12.9%,9,4-3,10.2%,7,-0.2%,16,3.6%,6
CAR,-9.3%,24,-6.5%,22,1-5,0.4%,15,3.1%,21,-6.5%,29
CHI,-6.6%,19,-6.6%,23,1-6,-3.5%,21,2.4%,19,-0.6%,20
CIN,0.2%,25,0.5%,16,3-4,12.0%,6,5.6%,23,-6.2%,28
CLE,-33.1%,31,-32.1%,32,0-7,-8.3%,26,20.1%,30,-4.7%,26
DAL,19.3%,5,15.4%,8,5-1,22.7%,1,2.5%,20,-0.9%,21
DEN,20.5%,9,19.0%,3,5-2,-0.8%,17,-20.1%,5,1.2%,12
DET,-16.2%,26,-14.9%,28,4-3,4.0%,13,26.3%,32,6.0%,4
GB,17.8%,8,16.0%,6,4-2,4.7%,10,-13.3%,7,-0.2%,19
HOU,-25.4%,30,-23.9%,30,4-3,-21.6%,32,-3.4%,12,-7.2%,31
IND,-13.2%,28,-12.2%,27,3-4,1.9%,14,22.3%,31,7.1%,2
JAC,-12.2%,23,-11.4%,26,2-4,-16.5%,29,-4.3%,11,0.0%,17
KC,4.1%,14,5.6%,12,4-2,-1.2%,18,-2.4%,13,3.0%,8
LARM,-10.5%,22,-9.3%,25,3-4,-20.1%,31,-4.4%,10,5.2%,5
MIA,1.7%,20,0.5%,17,3-4,-0.5%,16,-2.2%,14,-0.1%,18
MIN,20.2%,1,15.7%,7,5-1,-5.6%,23,-23.9%,2,1.8%,11
NE,18.3%,7,18.7%,4,6-1,19.2%,3,1.4%,18,0.5%,16
NO,-4.8%,21,-4.1%,20,2-4,13.8%,4,17.2%,29,-1.4%,22
NYG,4.0%,17,3.4%,14,4-3,-2.1%,19,-5.5%,9,0.7%,14
NYJ,-32.7%,32,-30.1%,31,2-5,-16.2%,28,11.6%,27,-4.9%,27
OAK,0.6%,18,0.0%,18,5-2,12.4%,5,14.9%,28,3.0%,7
PHI,30.3%,4,22.6%,1,4-2,-5.9%,24,-26.6%,1,9.5%,1
PIT,3.4%,12,4.8%,13,4-3,9.5%,8,8.0%,25,1.9%,10
SD,7.3%,13,6.6%,11,3-4,4.7%,9,-5.9%,8,-3.3%,24
SEA,21.9%,2,22.4%,2,4-1-1,-2.2%,20,-23.6%,3,0.5%,15
SF,-21.4%,27,-21.2%,29,1-6,-11.5%,27,7.2%,24,-2.7%,23
TB,-8.4%,29,-7.7%,24,3-3,-4.3%,22,-0.4%,15,-4.6%,25
TEN,-4.3%,16,-4.7%,21,3-4,4.2%,11,0.7%,17,-7.8%,32
WAS,2.9%,11,1.9%,15,4-3,4.2%,12,3.8%,22,2.4%,9
