Game,EGO,Spread,Spread Target,Pick
CIN @ PIT,-12.44,11.5,"[11.0, 8.5]",
BUF @ KC,2.36,-3.0,"[-4.0, -6.0]",
CHI @ STL,7.91,-7.0,"[-4.0, -6.5]",
NE @ MIA,-4.44,-2.0,"[3.0, 0.5]",
NYJ @ TEN,-6.62,5.5,"[5.0, 3.0]",
PHI @ BAL,-1.94,2.0,"[5.5, 3.5]",
HOU @ CLE,-3.97,3.0,"[2.5, 0.5]",
SF @ DAL,-3.01,9.5,"[6.5, 4.5]",
TB @ DET,11.84,-8.0,"[-8.0, -10.5]",TB
MIN @ JAC,-2.2,2.5,"[6.0, 3.5]",
OAK @ DEN,-8.69,9.0,"[12.5, 10.0]",
CAR @ ATL,0.36,1.0,"[3.5, 1.0]",CAR
NYG @ ARI,2.36,-3.0,"[-4.0, -6.0]",
WAS @ SEA,3.63,-3.0,"[0.0, -2.0]",
IND @ SD,2.7,3.0,"[1.0, -1.0]",
GB @ NO,1.85,1.0,"[2.0, -0.5]",GB
