TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,21.3%,5,21.3%,6,7-3,21.6%,2,-2.1%,10,-2.5%,26
ATL,7.1%,10,6.5%,14,6-4,16.2%,7,10.8%,21,1.7%,13
BAL,24.5%,4,23.0%,5,6-4,4.8%,17,-21.6%,3,-1.9%,25
BUF,-9.4%,22,-12.4%,24,5-5,-5.8%,25,10.5%,20,6.8%,2
CAR,16.2%,8,18.2%,8,8-2,4.5%,19,-10.1%,8,1.6%,14
CHI,2.6%,14,-0.3%,16,5-5,2.9%,20,0.1%,12,-0.2%,17
CIN,-28.2%,30,-28.2%,28,1-8-1,-18.9%,30,6.1%,18,-3.1%,27
CLE,-7.4%,24,-4.5%,21,4-6,-0.5%,22,13.1%,24,6.2%,3
DAL,-5.4%,23,-9.5%,23,6-4,5.9%,16,4.9%,16,-6.4%,30
DEN,-0.9%,21,-1.3%,17,6-4,18.9%,5,18.2%,27,-1.6%,24
DET,-45.0%,31,-43.7%,31,0-10,-14.8%,29,32.3%,32,2.1%,12
GB,22.4%,7,23.5%,4,5-5,13.1%,9,-6.3%,9,3.1%,8
HOU,-14.1%,26,-12.5%,25,3-7,8.9%,12,26.9%,30,3.9%,5
IND,12.9%,11,15.7%,10,6-4,19.0%,4,4.9%,17,-1.2%,23
JAC,-3.9%,19,-4.0%,20,4-6,7.8%,14,14.5%,25,2.8%,9
KC,-37.0%,29,-33.0%,30,1-9,-11.3%,27,20.2%,28,-5.5%,29
MIA,6.8%,15,6.6%,13,6-4,16.7%,6,0.5%,13,-9.4%,31
MIN,-1.8%,16,-3.9%,19,5-5,-4.7%,24,-13.8%,6,-11.0%,32
NE,-4.2%,20,-3.6%,18,6-4,6.1%,15,11.6%,23,1.3%,15
NO,4.6%,17,5.2%,15,5-5,19.8%,3,16.1%,26,0.8%,16
NYG,40.9%,1,41.9%,1,9-1,26.0%,1,-11.2%,7,3.6%,6
NYJ,7.9%,13,10.0%,11,7-3,4.5%,18,1.4%,14,4.8%,4
OAK,-30.0%,28,-31.5%,29,2-8,-26.9%,32,6.3%,19,3.2%,7
PHI,25.2%,2,24.3%,3,5-4-1,10.6%,11,-14.8%,5,-0.2%,18
PIT,20.3%,6,20.3%,7,7-3,-4.2%,23,-24.9%,1,-0.4%,20
SD,-3.3%,18,-6.4%,22,4-6,16.1%,8,21.7%,29,2.2%,10
SEA,-19.2%,27,-18.2%,27,2-8,-10.1%,26,11.3%,22,2.2%,11
SF,-11.8%,25,-13.1%,26,3-7,-14.3%,28,4.5%,15,7.1%,1
STL,-47.3%,32,-45.0%,32,2-8,-19.0%,31,27.8%,31,-0.4%,21
TB,17.6%,9,17.4%,9,7-3,2.6%,21,-15.3%,4,-0.4%,19
TEN,30.0%,3,30.4%,2,10-0,8.4%,13,-22.0%,2,-0.5%,22
WAS,10.5%,12,8.0%,12,6-4,12.5%,10,-1.2%,11,-3.2%,28
