Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.0 / 3.0,BUF,KAN,-,-3.0 / 3.0
+1.0 / -1.0,CAR,ATL,-,+1.0 / -1.0
-7.0 / 7.0,CHI,STL,-,-7.0 / 7.0
+11.5 / -11.5,CIN,PIT,-,+11.5 / -11.5
+1.0 / -1.0,GNB,NOR,-,+1.0 / -1.0
+3.0 / -3.0,HOU,CLE,-,+3.0 / -3.0
+3.0 / -3.0,IND,SDG,-,+3.0 / -3.0
+2.5 / -2.5,MIN,JAX,-,+2.5 / -2.5
-2.0 / 2.0,NWE,MIA,-,-2.0 / 2.0
-3.0 / 3.0,NYG,ARI,-,-3.0 / 3.0
+5.5 / -5.5,NYJ,TEN,-,+5.5 / -5.5
+9.0 / -9.0,OAK,DEN,-,+9.0 / -9.0
+2.0 / -2.0,PHI,BAL,-,+2.0 / -2.0
+9.5 / -9.5,SFO,DAL,-,+9.5 / -9.5
-8.0 / 8.0,TAM,DET,-,-8.0 / 8.0
-3.0 / 3.0,WAS,SEA,-,-3.0 / 3.0
