Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+5.0 / -5.0,CHI,PHI,-,+5.0 / -5.0
-4.0 / 4.0,CLE,DEN,-,-4.0 / 4.0
-6.5 / 6.5,DAL,NYG,-,-6.5 / 6.5
+2.5 / -2.5,DET,OAK,-,+2.5 / -2.5
-4.0 / 4.0,GNB,LAC,-,-4.0 / 4.0
+1.0 / -1.0,HOU,JAX,-,+1.0 / -1.0
+1.0 / -1.0,IND,PIT,-,+1.0 / -1.0
-5.5 / 5.5,MIN,KAN,-,-5.5 / 5.5
-3.0 / 3.0,NWE,BAL,-,-3.0 / 3.0
-3.5 / 3.5,NYJ,MIA,-,-3.5 / 3.5
-10.5 / 10.5,SFO,ARI,-,-10.5 / 10.5
+4.0 / -4.0,TAM,SEA,-,+4.0 / -4.0
+3.5 / -3.5,TEN,CAR,-,+3.5 / -3.5
+10.5 / -10.5,WAS,BUF,-,+10.5 / -10.5
