Game,EGO,Spread,Spread Target,Pick
SF @ ARI,9.97,-10.5,"[-11.5, -13.5]",
CHI @ PHI,-4.12,5.0,"[8.0, 5.5]",
IND @ PIT,-1.5,1.0,"[-0.0, -2.0]",
MIN @ KC,-3.27,-5.5,"[2.0, -0.5]",
NYJ @ MIA,4.69,-3.5,"[-1.0, -3.0]",
TEN @ CAR,-4.72,3.5,"[3.0, 1.0]",
WAS @ BUF,-5.16,10.5,"[9.0, 6.5]",
DET @ OAK,-1.06,2.5,"[5.0, 2.5]",DET
TB @ SEA,-5.79,4.0,"[4.5, 2.0]",SEA
CLE @ DEN,-1.98,-4.0,"[0.5, -1.5]",
GB @ LAC,3.22,-4.0,"[-4.5, -7.0]",
NE @ BAL,3.54,-3.0,"[0.0, -2.0]",
HOU @ JAX,-2.64,1.0,"[1.0, -1.0]",JAX
DAL @ NYG,6.81,-6.5,"[-3.0, -5.5]",
