TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-20.1%,24,-18.7%,26,3-4-1,-2.9%,19,14.6%,29,-2.7%,28
ATL,-22.4%,28,-19.2%,28,1-7,0.4%,18,16.9%,30,-5.8%,32
BAL,17.2%,7,14.5%,8,5-2,12.8%,7,0.8%,18,5.2%,1
BUF,-13.1%,21,-12.2%,25,5-2,-10.8%,24,-0.8%,16,-3.2%,30
CAR,2.9%,9,2.8%,15,4-3,-6.7%,21,-7.8%,5,1.7%,7
CHI,-3.4%,18,-2.1%,18,3-4,-13.9%,28,-7.4%,7,3.1%,5
CIN,-37.7%,31,-33.4%,31,0-8,-21.8%,29,20.4%,31,4.5%,3
CLE,-9.3%,25,-7.1%,22,2-5,-11.3%,26,2.6%,21,4.5%,4
DAL,26.0%,4,21.1%,5,4-3,28.0%,1,1.8%,19,-0.1%,19
DEN,-7.7%,23,-8.2%,23,2-6,-10.9%,25,-8.8%,3,-5.6%,31
DET,3.2%,13,3.2%,14,3-3-1,3.8%,13,5.4%,23,4.8%,2
GB,22.7%,5,20.2%,6,7-1,19.6%,4,-4.1%,13,-1.1%,24
HOU,3.4%,14,4.0%,13,5-3,4.0%,12,2.2%,20,1.6%,8
IND,1.1%,19,-0.1%,16,5-2,7.1%,9,5.8%,25,-0.2%,20
JAX,8.6%,12,5.9%,12,4-4,4.3%,11,-2.9%,14,1.4%,10
KC,26.5%,3,24.9%,3,5-3,25.6%,2,-0.6%,17,0.2%,14
LAC,-7.9%,22,-4.2%,21,3-5,2.1%,16,10.0%,27,0.1%,17
LAR,11.1%,11,12.0%,10,5-3,2.9%,14,-8.0%,4,0.1%,15
MIA,-67.9%,32,-57.8%,32,0-7,-34.3%,31,33.2%,32,-0.4%,21
MIN,23.0%,6,20.1%,7,6-2,16.0%,5,-6.7%,8,0.2%,13
NE,44.4%,1,40.3%,1,8-0,2.9%,15,-43.3%,1,-1.8%,26
NO,21.9%,8,22.2%,4,7-1,13.7%,6,-7.6%,6,0.6%,12
NYG,-18.6%,27,-18.9%,27,2-6,-9.2%,22,6.6%,26,-2.9%,29
NYJ,-34.7%,30,-27.0%,30,1-6,-41.1%,32,-4.7%,11,1.8%,6
OAK,-0.5%,20,-2.1%,17,3-4,12.0%,8,14.0%,28,1.5%,9
PHI,6.1%,15,6.6%,11,4-4,1.2%,17,-4.8%,10,0.1%,16
PIT,-4.7%,17,-3.4%,19,3-4,-9.5%,23,-5.7%,9,-0.9%,23
SEA,13.0%,10,12.5%,9,6-2,20.1%,3,5.2%,22,-1.9%,27
SF,46.3%,2,34.6%,2,7-0,5.4%,10,-41.6%,2,-0.8%,22
TB,-0.8%,16,-4.0%,20,2-5,-3.0%,20,-2.2%,15,0.1%,18
TEN,-11.0%,26,-8.7%,24,4-4,-13.8%,27,-4.4%,12,-1.6%,25
WAS,-27.3%,29,-25.7%,29,1-7,-22.7%,30,5.7%,24,1.0%,11
