Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
LAC,16,2019,-7.5,45.0,-7,-14.5,-1,1,0,0,OAK,36.0,50.0,50.0,75.0,53.0,42.0,80.0,19.0,78.0,100.0,29.0,67.0,18.0,56.0,79.0,68.0,0,0,0,46.0,20.0,84.0,35.0,48.0,38.0,59.0,62.0,69.0,47.0,11.0,21.0,50.0,63.0,5.0,97.0,80.0,13.0,43.0,65.0,35.0,84.0,38.0,62.0,47.0,21.0
LAR,16,2019,7.0,45.5,-3,4.0,1,0,1,0,SFO,64.0,54.0,18.0,58.0,71.0,55.0,48.0,37.0,64.0,75.0,81.0,92.0,17.0,50.0,77.0,51.0,1,1,0,91.0,87.0,72.0,94.0,56.0,58.0,30.0,51.0,80.0,49.0,56.0,100.0,71.0,69.0,99.0,47.0,83.0,69.0,100.0,47.0,94.0,72.0,58.0,51.0,49.0,100.0
MIA,16,2019,1.5,46.0,3,4.5,1,1,0,0,CIN,18.0,0.0,16.0,4.0,1.0,10.0,26.0,15.0,0.0,90.0,0.0,0.0,0.0,20.0,37.0,24.0,0,0,0,0.0,11.0,31.0,16.0,29.0,15.0,15.0,0.0,0.0,38.0,29.0,42.0,28.0,14.0,0.0,14.0,35.0,17.0,13.0,100.0,16.0,31.0,15.0,0.0,38.0,42.0
MIN,16,2019,-4.0,47.0,-13,-17.0,-1,1,0,0,GNB,82.0,77.0,38.0,73.0,55.0,77.0,78.0,34.0,64.0,32.0,74.0,86.0,49.0,70.0,49.0,37.0,0,0,0,91.0,59.0,61.0,55.0,42.0,27.0,33.0,44.0,70.0,44.0,51.0,29.0,51.0,46.0,18.0,16.0,36.0,32.0,33.0,25.0,55.0,61.0,27.0,44.0,44.0,29.0
NOR,16,2019,-3.5,49.0,10,6.5,1,0,0,0,TEN,91.0,66.0,70.0,71.0,54.0,100.0,74.0,53.0,69.0,32.0,84.0,92.0,29.0,79.0,69.0,39.0,1,0,0,64.0,62.0,9.0,58.0,67.0,45.0,65.0,63.0,83.0,39.0,40.0,24.0,21.0,71.0,41.0,39.0,43.0,44.0,44.0,45.0,58.0,9.0,45.0,63.0,39.0,24.0
NWE,16,2019,-7.0,38.5,7,0.0,0,1,1,0,BUF,91.0,94.0,63.0,23.0,100.0,36.0,47.0,100.0,85.0,0.0,74.0,75.0,23.0,71.0,57.0,88.0,0,1,0,82.0,64.0,53.0,77.0,52.0,49.0,45.0,67.0,30.0,24.0,65.0,73.0,50.0,31.0,84.0,62.0,45.0,53.0,69.0,47.0,77.0,53.0,49.0,67.0,24.0,73.0
NYG,16,2019,-1.0,42.0,6,5.0,1,0,0,0,WAS,18.0,23.0,21.0,27.0,26.0,34.0,40.0,34.0,23.0,98.0,45.0,45.0,20.0,51.0,39.0,21.0,1,0,0,18.0,15.0,25.0,77.0,56.0,23.0,41.0,25.0,20.0,0.0,27.0,46.0,0.0,18.0,45.0,64.0,0.0,0.0,6.0,55.0,77.0,25.0,23.0,25.0,0.0,46.0
NYJ,16,2019,3.0,36.5,6,9.0,1,1,0,0,PIT,36.0,24.0,25.0,0.0,68.0,87.0,12.0,28.0,24.0,78.0,38.0,17.0,5.0,82.0,20.0,37.0,0,0,0,64.0,50.0,78.0,100.0,16.0,15.0,78.0,65.0,13.0,19.0,58.0,63.0,32.0,13.0,86.0,14.0,33.0,47.0,39.0,38.0,100.0,78.0,15.0,65.0,19.0,63.0
OAK,16,2019,7.5,45.0,7,14.5,1,0,0,0,LAC,46.0,20.0,50.0,63.0,5.0,97.0,80.0,13.0,43.0,65.0,35.0,84.0,38.0,62.0,47.0,21.0,1,0,0,36.0,50.0,67.0,29.0,33.0,18.0,59.0,56.0,43.0,79.0,30.0,68.0,50.0,75.0,53.0,42.0,80.0,19.0,78.0,100.0,29.0,67.0,18.0,56.0,79.0,68.0
PHI,16,2019,2.0,47.0,8,10.0,1,1,0,0,DAL,55.0,49.0,80.0,28.0,39.0,30.0,92.0,51.0,60.0,75.0,61.0,53.0,38.0,80.0,45.0,38.0,0,0,0,55.0,69.0,100.0,58.0,63.0,48.0,61.0,64.0,68.0,94.0,35.0,52.0,36.0,100.0,64.0,65.0,100.0,55.0,98.0,62.0,58.0,100.0,48.0,64.0,94.0,52.0
PIT,16,2019,-3.0,36.5,-6,-9.0,-1,0,0,0,NYJ,64.0,50.0,32.0,13.0,86.0,14.0,33.0,47.0,39.0,38.0,100.0,78.0,15.0,65.0,19.0,63.0,1,0,0,36.0,24.0,17.0,38.0,0.0,5.0,100.0,82.0,18.0,20.0,36.0,37.0,25.0,0.0,68.0,87.0,12.0,28.0,24.0,78.0,38.0,17.0,5.0,82.0,20.0,37.0
SEA,16,2019,-8.0,51.0,-14,-22.0,-1,1,0,0,ARI,91.0,54.0,64.0,68.0,15.0,67.0,59.0,39.0,53.0,27.0,19.0,33.0,54.0,60.0,55.0,14.0,0,0,0,32.0,26.0,19.0,52.0,72.0,37.0,40.0,42.0,37.0,33.0,0.0,0.0,9.0,39.0,1.0,44.0,36.0,1.0,13.0,53.0,52.0,19.0,37.0,42.0,33.0,0.0
SFO,16,2019,-7.0,45.5,3,-4.0,-1,1,1,0,LAR,91.0,87.0,71.0,69.0,99.0,47.0,83.0,69.0,100.0,47.0,94.0,72.0,58.0,51.0,49.0,100.0,0,1,0,64.0,54.0,92.0,81.0,22.0,17.0,64.0,50.0,27.0,77.0,44.0,51.0,18.0,58.0,71.0,55.0,48.0,37.0,64.0,75.0,81.0,92.0,17.0,50.0,77.0,51.0
TAM,16,2019,3.0,50.0,-3,0.0,0,1,1,0,HOU,55.0,52.0,61.0,62.0,52.0,64.0,66.0,55.0,71.0,80.0,58.0,31.0,15.0,100.0,100.0,10.0,0,1,0,73.0,50.0,39.0,32.0,66.0,46.0,31.0,53.0,69.0,55.0,20.0,18.0,41.0,69.0,10.0,58.0,88.0,0.0,47.0,65.0,32.0,39.0,46.0,53.0,55.0,18.0
TEN,16,2019,3.5,49.0,-10,-6.5,-1,1,0,0,NOR,64.0,62.0,21.0,71.0,41.0,39.0,43.0,44.0,44.0,45.0,58.0,9.0,45.0,63.0,39.0,24.0,0,0,0,91.0,66.0,92.0,84.0,47.0,29.0,52.0,79.0,93.0,69.0,42.0,39.0,70.0,71.0,54.0,100.0,74.0,53.0,69.0,32.0,84.0,92.0,29.0,79.0,69.0,39.0
WAS,16,2019,1.0,42.0,-6,-5.0,-1,1,0,0,NYG,18.0,15.0,0.0,18.0,45.0,64.0,0.0,0.0,6.0,55.0,77.0,25.0,23.0,25.0,0.0,46.0,0,0,0,18.0,23.0,45.0,45.0,44.0,20.0,69.0,51.0,27.0,39.0,21.0,21.0,21.0,27.0,26.0,34.0,40.0,34.0,23.0,98.0,45.0,45.0,20.0,51.0,39.0,21.0
