Game,EGO,Spread,Spread Target,Pick
WAS @ MIN,-3.64,-1.0,"[2.0, -0.0]",
BUF @ PIT,-1.32,2.5,"[5.0, 3.0]",
CIN @ BAL,2.88,2.0,"[1.0, -1.5]",
JAC @ TEN,-12.57,11.5,"[11.0, 9.0]",
PHI @ GB,-5.81,-1.0,"[4.5, 2.0]",
DET @ CHI,-6.05,-1.5,"[4.5, 2.5]",
OAK @ NYG,-5.43,7.0,"[9.0, 7.0]",OAK
SEA @ ATL,5.52,-3.0,"[-2.0, -4.0]",SEA
STL @ IND,-9.62,7.0,"[8.0, 6.0]",IND
CAR @ SF,-0.04,5.5,"[3.5, 1.5]",
DEN @ SD,7.19,-7.0,"[-3.5, -5.5]",
HOU @ ARI,-8.08,3.5,"[6.5, 4.5]",
DAL @ NO,-2.99,5.5,"[6.5, 4.5]",DAL
MIA @ TB,-0.44,-2.5,"[-1.0, -3.5]",TB
