TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-3.4%,13,-6.3%,19,4.3%,3-3,0.6%,16,4.6%,18,0.6%,15
ATL,-21.6%,21,-17.1%,23,-21.6%,1-5,-8.5%,23,9.2%,23,-3.9%,21
BAL,15.8%,8,15.3%,9,26.4%,4-2,-10.3%,25,-18.3%,5,7.8%,4
BUF,-19.2%,23,-14.2%,22,-25.5%,1-4,-19.9%,29,8.7%,22,9.3%,2
CAR,-10.7%,26,-6.1%,18,2.3%,4-2,-0.7%,17,4.8%,19,-5.2%,25
CHI,-24.0%,28,-18.6%,24,-26.8%,2-4,-29.8%,31,2.5%,17,8.3%,3
CIN,-6.5%,18,-6.8%,20,-10.3%,1-4,11.3%,7,7.7%,21,-10.1%,30
CLE,-4.2%,19,-3.5%,16,-10.1%,3-3,5.4%,12,16.9%,30,7.4%,5
DAL,34.9%,4,25.3%,4,35.7%,5-1,26.3%,3,-9.5%,7,-1.0%,20
DEN,-21.3%,24,-20.1%,26,-21.3%,2-3,3.8%,13,12.9%,28,-12.1%,32
DET,-20.8%,22,-19.9%,25,-13.6%,3-2,-7.1%,21,9.3%,24,-4.4%,22
GB,19.1%,6,15.5%,8,17.7%,5-1,9.3%,9,-9.6%,6,0.2%,17
HOU,-0.9%,16,-5.8%,17,-4.8%,3-3,-3.4%,19,7.1%,20,9.7%,1
IND,53.0%,2,45.2%,2,54.6%,5-0,50.2%,1,-8.6%,8,-5.8%,28
JAC,17.9%,10,20.7%,6,20.2%,4-1,17.4%,5,0.6%,14,1.1%,14
KC,-12.1%,25,-13.1%,21,-7.7%,3-3,-14.7%,28,-7.6%,10,-5.0%,24
MIA,-22.0%,20,-21.3%,27,-21.3%,0-6,2.6%,14,24.8%,31,0.2%,19
MIN,3.7%,14,0.8%,15,10.2%,2-3,-2.7%,18,-4.1%,12,2.4%,11
NE,62.8%,1,56.2%,1,66.7%,6-0,40.5%,2,-19.3%,4,3.0%,9
NO,-31.1%,31,-24.1%,28,-43.5%,1-4,-12.4%,26,12.2%,27,-6.5%,29
NYG,10.8%,15,10.2%,11,5.6%,4-2,14.1%,6,-2.2%,13,-5.5%,26
NYJ,-33.8%,30,-24.8%,29,-33.9%,1-5,-8.5%,22,28.6%,32,3.2%,7
OAK,-37.7%,27,-31.8%,31,-26.5%,2-3,-13.5%,27,14.1%,29,-10.1%,31
PHI,11.6%,11,12.8%,10,14.5%,2-3,7.9%,11,-8.6%,9,-4.9%,23
PIT,36.9%,3,28.8%,3,49.8%,4-1,10.8%,8,-25.9%,1,0.2%,18
SD,7.8%,17,10.2%,12,6.7%,3-3,7.9%,10,2.0%,16,1.9%,12
SEA,4.1%,12,2.7%,14,5.9%,3-3,2.2%,15,0.9%,15,2.9%,10
SF,-45.7%,32,-39.3%,32,-39.7%,2-3,-38.2%,32,10.9%,26,3.4%,6
STL,-31.8%,29,-29.8%,30,-34.8%,0-6,-22.3%,30,10.0%,25,0.5%,16
TB,28.7%,5,25.3%,5,26.5%,4-2,18.1%,4,-7.5%,11,3.1%,8
TEN,14.3%,9,9.7%,13,4.0%,3-2,-3.5%,20,-23.5%,2,-5.8%,27
WAS,15.8%,7,15.6%,7,15.0%,3-2,-8.5%,24,-22.7%,3,1.5%,13
