Game,EGO,Spread,Spread Target,Pick
ARI @ WAS,-6.94,8.0,"[10.5, 8.5]",
BAL @ BUF,4.39,-3.0,"[-0.5, -3.0]",BAL
NE @ MIA,15.17,-15.5,"[-16.5, -19.0]",
TEN @ HOU,1.21,2.0,"[2.5, 0.5]",TEN
ATL @ NO,-0.68,7.5,"[4.5, 2.0]",
SF @ NYG,-12.63,9.5,"[11.0, 9.0]",NYG
TB @ DET,8.03,2.5,"[-4.5, -6.5]",
KC @ OAK,1.94,1.5,"[2.0, -0.5]",KC
NYJ @ CIN,-6.11,6.0,"[10.0, 7.5]",
CHI @ PHI,-8.94,5.5,"[7.5, 5.0]",PHI
MIN @ DAL,-7.49,9.5,"[11.0, 9.0]",MIN
STL @ SEA,-9.17,7.5,"[7.5, 5.5]",SEA
PIT @ DEN,8.91,-4.5,"[-5.0, -7.5]",
IND @ JAC,3.25,-3.0,"[0.5, -2.0]",
