Week,Spread,DVOA EGO,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO To Result Diff
14,2.5,-0.18,47.0,91.0,0.0,0.019634782996494377,21.0,90.0,-8.76536190518664,0.33088011724680755,35.0,65.0,0.0,-0.040276781360485,47.0,19.0,-7.42667687633236,-0.27066401725882383,38.0,54.0,-4.62814139974161,-0.15319446413774335,0.0,26.0,0.10232819611554067,0.2869544811591065,1,-1,-1,-5.82
14,-3.5,3.88,7.0,12.0,0.0,-0.009011475090324052,27.0,100.0,13.616680868808483,-0.4795094295202703,8.0,24.0,8.413469041191338,0.2502732304007947,59.0,40.0,0.0,-0.1567247077483706,93.0,45.0,0.0,-0.2193569265507631,28.0,41.0,2.8370659407138468,0.3073551451075684,1,1,1,16.12
14,-6.5,6.21,37.0,64.0,4.16805397075218,-0.10324240655016492,79.0,70.0,2.3210492282436794,0.15366540707751825,100.0,65.0,7.331384488736995,-0.2730242138950791,76.0,52.0,0.0,0.07081651313156875,35.0,64.0,0.0,0.05175669945698647,46.0,37.0,-2.188604279942137,-0.38430796068583306,-1,-1,1,0.79
14,6.5,-6.21,70.0,79.0,0.0,0.022971243738227787,64.0,37.0,2.3785608790055117,0.12142491945431312,52.0,76.0,0.0,0.09310616814812377,65.0,100.0,0.0,-0.034676529760693006,37.0,46.0,0.0,0.01647395799873863,64.0,35.0,0.0,-0.05466115274039557,1,-1,-1,-0.79
14,3.5,-3.88,100.0,27.0,3.2326853707414847,0.24128035724204394,12.0,7.0,0.0,0.0027926748613387314,40.0,59.0,0.9926273560133074,-0.2214690526438096,24.0,8.0,-3.005358077333076,-0.1435112534886952,41.0,28.0,3.6237772169570666,0.6222263849651974,45.0,93.0,0.0,0.07917214384745716,-1,1,-1,-16.12
14,3.0,-2.14,40.0,100.0,-4.348561756111465,0.4782939242064145,48.0,54.0,0.0,0.09636614795967828,11.0,62.0,0.1706614692171513,0.6656371890094888,73.0,45.0,0.0,-0.3337160339683325,28.0,53.0,0.0,0.1887248857643745,49.0,100.0,0.0,0.4633320124075759,1,1,1,9.14
14,6.5,-8.69,14.0,51.0,-0.09084607218684226,0.4652867401471314,24.0,64.0,-3.3642327845471733,0.3986982603912053,11.0,41.0,-9.598078095139718,-0.4706438975524719,0.0,41.0,-2.8938566937869847,0.18591732879120446,42.0,54.0,-3.8623031698136714,0.2573278291891315,35.0,44.0,-3.7003444444444495,0.2689173400401087,-1,1,-1,0.6899999999999995
14,-6.5,8.69,64.0,24.0,5.53880026531796,0.2632933571322394,51.0,14.0,10.017650221491852,0.4584695071180146,41.0,0.0,-12.548630345788693,-0.3522861864597989,41.0,11.0,0.014047970319591707,-0.16189037848348736,44.0,35.0,7.8636415313646415,0.5457905425134353,54.0,42.0,1.5250338983050875,0.4452010138757124,1,1,1,-0.6899999999999995
14,-3.0,2.14,54.0,48.0,1.7145910508560869,0.2347048323869029,100.0,40.0,2.3387232043225445,0.207858156767742,45.0,73.0,0.0,0.08817868132602412,62.0,11.0,4.557063463477885,0.2603149754973367,100.0,49.0,0.11742367651834762,0.2518901113876793,53.0,28.0,0.0,-0.02660116226063564,-1,1,-1,-9.14
14,8.0,-4.1,40.0,39.0,4.372664866081475,0.5559115744499138,39.0,30.0,0.0,0.29935801332814826,31.0,56.0,0.4573009964173718,-0.5388692294360343,53.0,46.0,0.0,-0.16521834715888273,17.0,26.0,0.0,0.17682874798088294,56.0,56.0,-0.8803558532323805,0.3113170776429084,1,1,1,18.1
