Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,Spread Result Class,Game Pick,EGO Pick Correct
13,-7.55,-0.05,58,28,3.5079203160000003,0.139628833,59,88,11.88068745,-0.394601765,81,70,-0.271508874,0.557300854,60,26,2.433983611,0.102517056,7,48,0.205480038,-0.576160683,60,48,1.7920424190000002,-0.174965557,-1,-1,1
15,12.34,5.34,51,29,0.0,-0.024961567,85,36,3.3039806019999998,-0.157197265,13,47,3.3353994989999998,-0.23415883699999998,66,12,-3.188828673,-0.651211766,87,52,3.69696734,0.185160546,53,34,4.109967004,0.54098084,1,1,1
9,-6.42,-6.42,83,96,0.0,0.5363351129999999,49,50,0.0,0.065348245,80,71,3.112923795,0.414384441,47,100,0.0,0.704291597,22,52,8.846360507,-0.207483715,95,0,-1.902965101,-0.427407786,1,-1,-1
15,0.99,-1.51,5,43,0.0,-0.005302096,100,11,-2.401351564,-0.272271531,53,83,0.0,-0.019657023,53,30,-1.193798124,-0.34448400100000004,64,15,-2.003185163,-0.43510446,12,63,-1.6503214480000001,0.28740891399999996,1,-1,-1
10,2.73,1.23,43,90,0.0,0.959811428,73,36,1.8335665069999998,0.20814978,100,62,-1.160576122,0.837171325,52,20,0.0,-0.090003308,33,28,6.975159682999999,0.403461699,59,100,0.0,0.737715813,1,1,1
15,-3.99,1.01,10,88,-8.776435767,0.219061022,71,23,1.483132202,0.680975216,33,29,-0.965819034,0.433466211,51,32,-3.416995835,0.5347599820000001,14,13,0.0,0.267375494,21,58,-7.390192215,0.45876836600000004,-1,1,-1
12,-5.22,-2.22,16,92,-13.442,0.31950639,80,37,-1.8641197230000002,0.37227184700000004,25,32,1.110047555,0.475216003,20,0,0.0,0.45133031700000004,60,49,-7.433766595,0.402286824,25,58,-5.332567168,-0.375190853,-1,-1,1
6,-8.79,1.21,53,70,13.04380838,-0.33275613,70,82,0.0,0.007532986,27,58,0.0,0.053963240999999995,17,69,0.0,0.8585203379999999,56,100,0.0,0.9582536140000001,51,55,0.0,-0.232888966,1,1,1
8,2.41,5.41,70,72,4.209944258999999,-0.573274649,72,75,0.077189326,0.25240751899999997,55,58,0.0,0.19635265,84,23,2.733769541,0.305605547,9,76,1.750247246,-0.21378560300000002,75,85,0.0,-0.6892367420000001,-1,1,-1
11,-9.33,1.67,90,91,-19.81837979,0.688570245,45,55,-1.402364341,0.27354307,11,54,0.0,0.058239169,60,19,1.910558125,0.6885790759999999,28,100,-17.20583528,0.518094425,22,77,-5.027986244,0.114431528,-1,1,-1
12,-2.52,0.48,57,30,4.286370826000001,0.395688779,7,43,0.0,0.044882236,40,59,0.812832113,0.174492609,71,32,8.553891992,0.596685073,0,92,15.13745573,-0.365479725,100,42,0.496195355,0.324444599,1,1,1
16,-8.37,5.13,36,55,0.0,0.088375661,42,73,0.0,-0.030504774,32,62,-4.908080899,0.161155201,90,16,1.0836817220000001,0.432615025,27,45,-2.590735564,0.40207589299999996,40,64,0.0,-0.085515715,-1,1,-1
16,-5.77,-1.77,55,86,4.424793187,-0.24757419,61,74,-0.283268061,0.210792941,27,70,0.0,0.0015512070000000002,44,49,0.0,0.22045499899999998,44,37,2.9857074569999997,0.5020938189999999,29,49,1.308033795,-0.109673034,1,-1,-1
7,4.77,2.27,84,51,-1.077859412,0.10737445300000001,59,12,7.933710447999999,0.752946722,35,68,-6.1392179460000005,0.7091371890000001,59,58,0.0,-0.19780918600000003,59,79,1.6398019469999998,-0.299450863,61,23,5.301919097,0.8580532479999999,1,1,1
16,-4.23,-0.73,48,57,-6.717623939,0.571666412,36,68,-8.084856934,0.565161259,51,80,-6.690867867000001,0.416741971,50,74,-6.607162972,0.415175918,9,20,0.0,0.575487215,0,40,-0.40956656700000005,0.245937509,1,-1,-1
7,-4.03,-0.03,32,64,0.0,0.685412813,42,6,8.302873631,0.723816873,23,52,-9.299669421,-0.6864225909999999,16,38,0.0,-0.467800514,74,14,5.801897555,0.6051177320000001,28,43,0.0,-0.355873631,1,-1,-1
9,-1.32,-2.32,11,59,0.0,-0.32046333899999996,100,100,0.0,-0.10352185,49,61,0.0,0.07874141,54,36,0.737340909,0.123578054,75,100,0.0,-0.226505915,4,36,4.935042871,0.31798105600000004,1,-1,-1
14,0.61,-1.89,46,61,0.0,0.022463338,97,61,0.0,0.052952020999999995,63,67,0.0,0.363379092,85,70,8.152719803,-0.36647609200000003,66,60,0.0,0.063236036,58,31,2.9174570539999998,0.12086678,-1,-1,1
9,-2.36,0.64,44,96,-8.739634658,0.448286154,60,39,-3.3807253889999997,-0.46653786,25,60,-0.40944085700000005,-0.253249662,13,69,-7.49122357,0.559339236,38,13,0.0,-0.313384771,56,85,-7.33094287,0.188172738,-1,1,-1
8,-1.78,-4.28,35,22,0.0,0.002735682,56,21,-2.94596037,-0.267406759,31,0,0.0,-0.00038448599999999996,96,53,0.725533647,-0.263210397,35,13,0.0,-0.097020941,16,32,2.683194235,0.60904059,1,-1,-1
10,2.68,5.68,25,50,0.0,-0.115134776,56,95,-5.094714142,-0.21885243199999999,23,67,0.0,-0.29746030100000004,25,28,-6.61775259,0.126473236,93,25,-5.928855909,0.469798007,46,48,-9.736855459,-0.825549544,1,1,1
9,1.26,4.26,57,67,-4.432433369,0.5311294639999999,69,49,0.0,0.18878286,28,26,1.9306668569999998,0.48901143799999996,28,46,-1.966979957,-0.15704906,30,56,-2.620478704,-0.621105492,52,24,-2.99167245,-0.20261948800000001,-1,1,-1
16,0.94,-0.56,16,0,7.941128936,0.44966919899999996,31,0,0.0,0.45139951700000003,15,20,-11.07859124,-0.264568536,0,0,-3.551127165,0.111698039,38,24,-1.2801581359999998,0.315098514,42,37,-5.0714264060000005,0.297681878,-1,-1,1
15,4.16,-1.34,85,21,8.115716746,0.314899275,56,85,8.359248151000001,-0.248575873,55,31,0.0,-0.406722649,92,37,3.96063765,-0.18869379100000003,39,59,5.349797987,-0.182282697,58,62,5.969237672,-0.223270103,1,-1,-1
12,-3.01,6.49,40,66,-3.9798780910000002,0.31647772399999996,6,77,-3.975445557,0.185332971,33,64,-4.03182381,0.42955042600000004,63,40,-2.591156802,0.141456195,37,81,0.18868036100000002,-0.18189203399999998,33,49,0.0,-0.010004825,-1,1,-1
11,-9.11,-2.11,43,0,8.254075543999999,0.282156533,21,29,3.6070156439999996,0.365673642,23,63,0.0,0.163674571,11,38,-5.291270035,-0.120399719,13,37,-12.67611629,-0.490169378,29,36,-4.391777439,-0.125131514,-1,-1,1
13,5.54,-1.46,36,59,0.0,0.055850542,80,54,3.8128232339999997,0.231211616,46,68,4.236198508999999,0.110286243,64,62,11.72629298,-0.5028060560000001,62,28,0.0,0.28087946199999997,93,28,5.645352569,0.16028687,-1,-1,1
13,-9.79,0.21,55,18,1.8965180659999998,0.19908091100000003,15,62,0.48306356899999997,0.475527046,83,38,-0.901226975,0.162679162,62,100,0.0,-0.08344296799999999,32,57,0.328109573,-0.106161129,48,26,0.0,0.041794269,-1,1,-1
15,0.79,7.79,24,0,-3.8855618489999997,-0.123044696,59,48,0.548195611,0.435822857,50,74,-9.339171897,0.58484648,61,22,-0.239056748,0.115735608,33,51,-0.591462811,0.182991132,68,27,0.0,0.098239916,-1,1,-1
6,-0.52,4.98,0,75,0.0,0.474478312,49,29,-5.18221533,0.915613641,46,34,0.0,0.990907304,5,21,0.0,0.8853561940000001,37,77,0.0,-0.051237744,72,67,11.05936928,-0.413392575,-1,1,-1
7,-9.11,-2.11,44,40,0.0,0.42242276,66,52,0.0,0.344814377,10,77,-10.63523703,0.35318285299999996,27,64,0.24763739699999998,-0.11792459699999999,19,62,2.0824150059999997,-0.6937768190000001,39,6,-6.191852783,-0.24813997699999998,-1,-1,1
7,-7.21,-1.71,38,66,0.0,-0.05793508,27,12,1.115118483,0.8217803920000001,28,54,0.0,0.5950300239999999,79,65,-1.381062124,-0.47436318,36,55,-2.831668751,0.7033230509999999,57,31,0.0,0.535070384,1,-1,-1
14,4.0,2.5,73,64,0.0,0.090580015,39,62,0.793862266,0.731073555,50,54,2.496850719,0.757473141,70,86,-9.266930324,0.622196788,1,56,3.5054770889999998,0.7394351720000001,65,0,0.0,0.047385891,-1,1,-1
15,-2.81,-0.31,12,76,0.0,0.034189396000000004,55,100,0.0,0.381917189,42,82,4.08187052,-0.147030222,32,45,0.0,0.027605667,72,90,6.58623718,-0.408790321,83,48,-0.8165309629999999,0.37524321899999996,1,-1,-1
10,3.06,-1.94,25,23,-4.620398795,-0.600943723,43,43,-0.562803986,-0.255413221,43,17,0.941888967,0.176917424,58,2,0.0,-0.12760261,35,18,3.6143630489999996,0.29962020300000003,44,35,-2.397987555,-0.79261821,1,-1,-1
16,3.63,9.13,50,59,2.132725522,0.261738107,59,100,-4.5345180780000005,0.245615439,91,78,1.620828098,0.129231819,93,49,3.0401177,0.10240930699999999,17,69,2.159480877,0.386213863,83,59,0.0,-0.070466492,1,1,1
14,-9.13,1.37,37,40,4.250161529,0.42541163600000004,46,46,-0.038466407,-0.22952274,11,100,0.0,0.050038927000000004,34,10,0.0,-0.173410715,41,57,5.160120275,-0.58360019,45,61,0.0,-0.060528084,-1,1,-1
10,2.92,3.92,30,78,0.0,0.39002344899999997,97,43,0.0,0.542568435,53,64,0.0,-0.196497736,86,14,0.0,-0.032172996,55,56,0.0,0.315561178,0,78,-5.766014771,0.270173192,1,1,1
