Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO Pick Correct
14,-0.29,2.21,47.0,91.0,0.0,0.05756975940109608,21.0,90.0,-8.328190474066806,0.3227478638771182,35.0,65.0,0.0,-0.0011883655148854785,47.0,19.0,-6.848696919948052,-0.2420344679562625,38.0,54.0,-4.3194529335768665,-0.1540348476009329,0.0,26.0,0.5597983416700432,0.2980556931512529,1,-1,-1,-1
14,2.52,-0.98,7.0,12.0,0.0,0.013053400084951657,27.0,100.0,13.940188918703331,-0.4906876545170488,8.0,24.0,9.102074806235306,0.2699988352924464,59.0,40.0,0.0,-0.15506845919933665,93.0,45.0,0.0,-0.22318528021588305,28.0,41.0,2.9070820729985822,0.3158241793078319,-1,-1,1,-1
14,5.77,-0.7300000000000004,37.0,64.0,0.0,-0.09641006957977756,79.0,70.0,3.3223801325298816,0.15813893732038506,100.0,65.0,8.24568688103375,-0.25933702675515397,76.0,52.0,0.0,0.08365847896642599,35.0,64.0,0.0,0.045288430382450166,46.0,37.0,-1.083188008180775,-0.37726032723594577,-1,-1,1,-1
14,-5.77,0.7300000000000004,70.0,79.0,0.0,0.018576258252144817,64.0,37.0,3.1772966524301496,0.10844224146615143,52.0,76.0,0.0,0.0876731689653827,65.0,100.0,0.0,-0.03739124538117654,37.0,46.0,0.0,0.014610310773642709,64.0,35.0,0.0,-0.0482025341559249,1,-1,-1,-1
14,-2.52,0.98,100.0,27.0,2.2056112224448885,0.24980607038921704,12.0,7.0,0.0,0.0014683377979694062,40.0,59.0,-0.08829914804224348,-0.2069847889756097,24.0,8.0,-4.153562845236944,-0.1459266023087871,41.0,28.0,2.51010913630628,0.6190748116082846,45.0,93.0,0.0,0.08910007677517823,1,-1,-1,-1
14,-1.77,1.23,40.0,100.0,-4.773405316798517,0.4943546617335439,48.0,54.0,0.5584527220630373,0.1517772153867139,11.0,62.0,-0.03544606976372222,0.7034130772382041,73.0,45.0,0.0,-0.31383335280892344,28.0,53.0,0.0,0.2266684550079605,49.0,100.0,0.0,0.4602890756387713,1,1,1,1
14,-7.78,-1.2800000000000002,14.0,51.0,-0.7798227176220838,0.467949503224084,24.0,64.0,-4.083196291817814,0.3902957739773211,11.0,41.0,-9.954810701926556,-0.44165808003751417,0.0,41.0,-3.5722226331360956,0.22020813970792147,42.0,54.0,-4.609647401001647,0.26451623160057663,35.0,44.0,-4.3724555555555575,0.2438945209299604,-1,1,-1,1
14,7.78,1.2800000000000002,64.0,24.0,5.602928447060768,0.2679568526198245,51.0,14.0,9.87892263861103,0.4541946606314932,41.0,0.0,-12.483016287779806,-0.3567944663005753,41.0,11.0,0.31253390032761985,-0.14103293463725405,44.0,35.0,7.762045875558464,0.5395908643678562,54.0,42.0,1.5777436440677943,0.4465757782782557,1,1,1,1
14,1.77,-1.23,54.0,48.0,1.7634364458023022,0.2423201978478859,100.0,40.0,2.4192229987666627,0.21489073528282465,45.0,73.0,0.7869471204032314,0.10139068388138164,62.0,11.0,4.72729289727705,0.26743499886004823,100.0,49.0,0.09475073075673636,0.2588746571516363,53.0,28.0,0.0,-0.02121286427102575,-1,1,-1,1
14,-4.53,3.47,40.0,39.0,4.68592714060641,0.5716269514195488,39.0,30.0,0.0,0.3085874929969249,31.0,56.0,0.5537169726824871,-0.5248640969967693,53.0,46.0,0.0,-0.13494615506038296,17.0,26.0,0.0,0.17864330873322656,56.0,56.0,-0.7668462434478727,0.3022835942832804,1,1,1,1
14,-7.01,4.99,27.0,82.0,-2.330652818991098,0.14305270880310875,55.0,57.0,0.0,0.05178768106961612,30.0,64.0,0.0,0.07952104083397625,48.0,51.0,0.0,0.18930430719847532,76.0,37.0,0.0,0.10993554208395034,16.0,54.0,-1.7685713668287408,-0.1407158352658442,1,-1,-1,-1
14,8.88,-4.119999999999999,40.0,27.0,-1.4101568419457515,-0.16198279979132946,67.0,67.0,-0.4042026766969968,0.2889916695027578,27.0,32.0,3.971147303864848,0.17341615139490615,42.0,25.0,0.0,0.2133832463532973,53.0,45.0,1.7951449065352834,0.568836050440457,31.0,0.0,-2.275543516821379,-0.12807776154564446,-1,1,-1,1
14,4.53,-3.47,30.0,39.0,0.0,0.02065865033657087,39.0,40.0,0.0,0.0884760263771949,46.0,53.0,2.2037339002787704,0.26662387335818305,56.0,31.0,5.8632107178003725,0.7997131249427266,56.0,56.0,3.347863372093021,-0.12668824330124204,26.0,17.0,-14.184287419839006,-0.7079198915096366,-1,1,-1,1
14,-1.97,1.03,54.0,27.0,-2.392177107666165,-0.36209489158962505,76.0,57.0,1.5213733228097936,-0.4587379972863881,53.0,99.0,0.0,0.33387977610237685,68.0,23.0,0.0,-0.14494441008143494,29.0,15.0,0.0,-0.4072724742742921,47.0,85.0,5.6631403958837465,-0.43224391594731226,1,0,0,1
