Game,EGO,Spread,Spread Target,Pick
TEN @ DET,14.14,-11.0,"[-10.5, -12.5]",TEN
SEA @ DAL,-5.03,12.0,"[8.5, 6.5]",
ARI @ PHI,-2.03,3.0,"[5.5, 3.5]",
MIA @ STL,10.35,-7.0,"[-6.5, -9.0]",MIA
SF @ BUF,-3.6,6.5,"[7.5, 5.0]",SF
BAL @ CIN,10.04,-7.0,"[-6.5, -8.5]",BAL
CAR @ GB,-1.89,3.0,"[5.5, 3.5]",
IND @ CLE,3.25,-4.0,"[-5.0, -7.0]",
NO @ TB,-2.79,3.5,"[6.5, 4.5]",
NYG @ WAS,6.3,-4.0,"[-2.5, -5.0]",NYG
ATL @ SD,0.25,6.5,"[3.5, 1.0]",
DEN @ NYJ,-6.77,8.0,"[10.5, 8.5]",
KC @ OAK,-5.52,3.5,"[4.0, 2.0]",OAK
PIT @ NE,2.01,2.5,"[1.5, -0.5]",
CHI @ MIN,-0.84,5.0,"[4.5, 2.5]",
JAC @ HOU,-1.94,3.0,"[5.5, 3.5]",
