Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.0 / -3.0,ARI,PHI,-,+3.0 / -3.0
+6.5 / -6.5,ATL,SDG,-,+6.5 / -6.5
-7.0 / 7.0,BAL,CIN,-,-7.0 / 7.0
+3.0 / -3.0,CAR,GNB,-,+3.0 / -3.0
+5.0 / -5.0,CHI,MIN,-,+5.0 / -5.0
+8.0 / -8.0,DEN,NYJ,-,+8.0 / -8.0
-4.0 / 4.0,IND,CLE,-,-4.0 / 4.0
+3.0 / -3.0,JAX,HOU,-,+3.0 / -3.0
+3.5 / -3.5,KAN,OAK,-,+3.5 / -3.5
-7.0 / 7.0,MIA,STL,-,-7.0 / 7.0
+3.5 / -3.5,NOR,TAM,-,+3.5 / -3.5
-4.0 / 4.0,NYG,WAS,-,-4.0 / 4.0
+2.5 / -2.5,PIT,NWE,-,+2.5 / -2.5
+12.0 / -12.0,SEA,DAL,-,+12.0 / -12.0
+6.5 / -6.5,SFO,BUF,-,+6.5 / -6.5
-11.0 / 11.0,TEN,DET,-,-11.0 / 11.0
