TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,18.9%,6,20.6%,4,7-4,20.7%,3,-0.6%,11,-2.5%,24
ATL,10.7%,13,11.6%,13,7-4,20.6%,4,13.1%,23,3.2%,7
BAL,27.7%,4,26.4%,2,7-4,5.1%,19,-25.8%,1,-3.2%,26
BUF,-8.2%,24,-10.1%,24,6-5,-2.0%,23,13.9%,25,7.7%,1
CAR,15.6%,9,16.1%,8,8-3,8.4%,13,-7.2%,8,0.1%,18
CHI,6.1%,16,4.1%,15,6-5,2.9%,20,-3.4%,9,-0.2%,19
CIN,-28.1%,28,-27.2%,29,1-9-1,-16.1%,29,9.1%,19,-2.9%,25
CLE,-12.8%,23,-11.5%,25,4-7,-7.3%,25,11.2%,20,5.7%,3
DAL,-4.7%,22,-7.5%,22,7-4,7.6%,15,6.6%,16,-5.7%,29
DEN,-6.3%,17,-6.8%,20,6-5,18.8%,6,20.7%,29,-4.3%,28
DET,-47.5%,31,-46.0%,31,0-11,-16.7%,30,31.4%,32,0.5%,17
GB,13.3%,5,14.6%,9,5-6,9.7%,11,-1.7%,10,1.9%,12
HOU,-10.8%,26,-8.6%,23,4-7,6.9%,16,20.4%,28,2.7%,9
IND,10.8%,10,13.0%,12,7-4,18.0%,7,6.7%,17,-0.5%,21
JAC,-6.9%,20,-7.3%,21,4-7,6.2%,17,14.0%,26,1.0%,15
KC,-35.9%,30,-33.9%,30,1-10,-8.7%,26,21.4%,30,-5.9%,30
MIA,4.1%,14,3.0%,16,6-5,18.8%,5,6.0%,15,-8.8%,31
MIN,-0.5%,18,-2.2%,19,6-5,-5.1%,24,-14.4%,6,-9.8%,32
NE,-0.4%,21,0.8%,17,7-4,10.4%,10,13.2%,24,2.3%,10
NO,12.3%,15,14.2%,11,6-5,22.9%,2,12.1%,21,1.4%,13
NYG,41.6%,1,42.9%,1,10-1,26.7%,1,-10.2%,7,4.7%,6
NYJ,12.9%,12,14.3%,10,8-3,8.3%,14,0.1%,12,4.7%,5
OAK,-18.5%,29,-18.7%,27,3-8,-20.3%,31,3.3%,14,5.1%,4
PHI,21.4%,3,19.7%,6,5-5-1,5.6%,18,-14.6%,5,1.2%,14
PIT,19.4%,7,19.8%,5,8-3,-0.7%,22,-21.0%,2,-0.9%,23
SD,2.2%,19,0.4%,18,4-7,17.1%,8,17.0%,27,2.0%,11
SEA,-21.1%,27,-20.4%,28,2-9,-11.4%,27,12.5%,22,2.8%,8
SF,-15.0%,25,-16.4%,26,3-8,-14.2%,28,7.1%,18,6.3%,2
STL,-53.2%,32,-51.9%,32,2-9,-25.4%,32,27.1%,31,-0.8%,22
TB,18.2%,8,16.8%,7,8-3,-0.1%,21,-17.6%,3,0.7%,16
TEN,25.4%,2,24.7%,3,10-1,9.2%,12,-16.6%,4,-0.4%,20
WAS,8.2%,11,5.1%,14,7-4,12.6%,9,0.5%,13,-4.0%,27
