Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-7.5 / 7.5,ATL,CAR,-,-7.5 / 7.5
-3.0 / 3.0,BAL,HOU,-,-3.0 / 3.0
+8.0 / -8.0,CIN,PIT,-,+8.0 / -8.0
+0.0 / -0.0,CLE,BUF,-,+0.0 / -0.0
-4.0 / 4.0,DEN,ARI,-,-4.0 / 4.0
-7.0 / 7.0,GNB,DET,-,-7.0 / 7.0
-4.0 / 4.0,IND,TEN,-,-4.0 / 4.0
+10.0 / -10.0,KAN,SDG,-,+10.0 / -10.0
+5.5 / -5.5,MIA,NYJ,-,+5.5 / -5.5
-3.0 / 3.0,NWE,CHI,-,-3.0 / 3.0
-5.5 / 5.5,NYG,MIN,-,-5.5 / 5.5
+3.5 / -3.5,OAK,JAX,-,+3.5 / -3.5
-4.0 / 4.0,PHI,DAL,-,-4.0 / 4.0
+5.0 / -5.0,SEA,SFO,-,+5.0 / -5.0
+9.0 / -9.0,STL,NOR,-,+9.0 / -9.0
-1.5 / 1.5,TAM,WAS,-,-1.5 / 1.5
