Game,EGO,Spread,Spread Target,Pick
IND @ TEN,-1.17,-4.0,"[-0.5, -2.5]",
CIN @ PIT,-11.94,8.0,"[10.5, 8.0]",PIT
CLE @ BUF,4.02,0.0,"[-0.5, -2.5]",
OAK @ JAC,-1.3,3.5,"[5.0, 3.0]",OAK
ATL @ CAR,10.47,-7.5,"[-7.0, -9.0]",ATL
GB @ DET,6.53,-7.0,"[-8.0, -10.0]",
TB @ WAS,2.19,-1.5,"[1.5, -0.5]",
SEA @ SF,-8.54,5.0,"[7.0, 5.0]",SF
STL @ NO,-7.55,9.0,"[11.0, 9.0]",STL
DEN @ ARI,5.33,-4.0,"[-1.5, -4.0]",DEN
KC @ SD,-5.73,10.0,"[9.5, 7.0]",
MIA @ NYJ,-1.15,5.5,"[5.0, 2.5]",
NE @ CHI,5.66,-3.0,"[-2.0, -4.0]",NE
PHI @ DAL,8.32,-4.0,"[-4.5, -7.0]",
NYG @ MIN,4.87,-5.5,"[-6.5, -8.5]",
BAL @ HOU,2.03,-3.0,"[-3.5, -5.5]",
