TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-40.6%,32,-42.4%,32,3-9,-30.8%,31,11.8%,24,2.0%,11
ATL,18.0%,9,17.0%,8,10-2,16.1%,6,2.1%,16,4.1%,5
BAL,21.1%,7,23.8%,4,8-4,12.2%,12,-5.7%,7,3.3%,8
BUF,-17.9%,25,-16.5%,27,2-10,-3.6%,21,15.3%,27,1.1%,13
CAR,-38.3%,31,-38.4%,31,1-11,-35.8%,32,2.6%,18,0.2%,17
CHI,-0.2%,18,1.9%,17,9-3,-13.8%,30,-7.9%,5,5.7%,3
CIN,-10.7%,20,-12.9%,25,2-10,-0.2%,19,6.9%,21,-3.6%,29
CLE,8.4%,15,11.4%,11,5-7,3.5%,17,-2.4%,9,2.5%,9
DAL,-15.9%,28,-18.7%,28,4-8,-0.3%,20,16.6%,28,1.0%,14
DEN,-11.5%,22,-8.8%,22,3-9,13.0%,10,21.9%,31,-2.6%,27
DET,-13.1%,24,-15.2%,26,2-10,-3.8%,22,11.1%,23,1.9%,12
GB,24.5%,4,23.6%,5,8-4,18.3%,5,-9.8%,3,-3.6%,28
HOU,3.6%,16,4.7%,14,5-7,29.6%,2,25.3%,32,-0.7%,22
IND,6.9%,14,7.9%,12,6-6,13.8%,9,2.4%,17,-4.5%,31
JAC,-7.1%,21,-8.2%,21,7-5,9.5%,15,19.9%,30,3.3%,7
KC,8.1%,13,3.1%,16,8-4,13.9%,8,3.6%,19,-2.1%,25
MIA,9.3%,12,11.7%,10,6-6,10.5%,14,1.1%,12,-0.1%,19
MIN,-9.7%,23,-9.2%,23,5-7,-8.7%,26,-0.1%,10,-1.1%,23
NE,35.9%,2,36.9%,1,10-2,48.2%,1,14.4%,26,2.1%,10
NO,11.7%,11,12.6%,9,9-3,14.6%,7,0.6%,11,-2.3%,26
NYG,22.2%,5,22.4%,6,8-4,12.5%,11,-13.7%,2,-4.0%,30
NYJ,11.1%,8,6.8%,13,9-3,3.1%,18,-3.8%,8,4.2%,4
OAK,-11.4%,27,-4.0%,20,6-6,-9.7%,27,2.1%,15,0.4%,16
PHI,26.4%,3,27.7%,3,8-4,27.3%,3,1.1%,13,0.1%,18
PIT,32.5%,1,33.1%,2,9-3,11.8%,13,-17.3%,1,3.4%,6
SD,16.4%,6,19.3%,7,6-6,19.7%,4,-8.7%,4,-11.9%,32
SEA,-23.9%,30,-30.7%,30,6-6,-11.6%,29,19.0%,29,6.6%,1
SF,-8.1%,19,-1.2%,19,4-8,-6.7%,25,1.2%,14,-0.2%,20
STL,-17.2%,29,-12.2%,24,6-6,-10.5%,28,7.2%,22,0.4%,15
TB,0.0%,17,0.4%,18,7-5,7.5%,16,5.9%,20,-1.6%,24
TEN,7.9%,10,3.1%,15,5-7,-4.7%,23,-6.4%,6,6.1%,2
WAS,-18.0%,26,-19.4%,29,5-7,-5.2%,24,12.1%,25,-0.7%,21
