TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-18.0%,26,-16.5%,23,4-6,-13.8%,26,-2.8%,15,-7.0%,29
ATL,2.3%,16,1.3%,17,6-4,10.3%,7,6.8%,22,-1.1%,20
BAL,15.1%,14,16.2%,7,5-5,-16.6%,29,-23.7%,1,8.0%,1
BUF,-13.7%,21,-17.1%,25,5-5,-11.5%,24,6.2%,21,4.0%,7
CAR,13.8%,9,14.9%,9,7-3,-1.5%,18,-11.9%,6,3.4%,10
CHI,-13.4%,25,-11.5%,20,3-7,-10.0%,22,-2.9%,14,-6.2%,28
CIN,-10.0%,22,-9.2%,19,4-6,-11.3%,23,-3.1%,12,-1.8%,21
CLE,-27.4%,31,-26.1%,30,0-10,-25.1%,32,-2.9%,13,-5.2%,26
DAL,3.7%,13,4.7%,14,5-5,7.7%,11,9.8%,24,5.8%,6
DEN,-14.9%,24,-17.3%,26,3-7,-13.0%,25,-6.8%,10,-8.7%,31
DET,10.8%,10,9.1%,11,6-4,2.9%,14,-1.1%,17,6.8%,4
GB,4.0%,12,4.1%,15,5-5,3.6%,13,-0.6%,18,-0.2%,19
HOU,-2.2%,17,-3.1%,18,4-6,-2.2%,20,-2.6%,16,-2.6%,23
IND,-29.1%,30,-26.7%,31,3-7,-22.3%,31,10.5%,26,3.8%,9
JAC,16.3%,6,15.7%,8,7-3,0.1%,16,-21.9%,2,-5.7%,27
KC,11.7%,8,6.2%,12,6-4,15.0%,5,10.0%,25,6.6%,5
LACH,2.4%,18,5.2%,13,4-6,5.7%,12,-5.7%,11,-9.0%,32
LARM,31.1%,1,32.6%,3,7-3,9.6%,8,-14.2%,5,7.3%,2
MIA,-36.6%,32,-37.1%,32,4-6,-18.5%,30,18.2%,30,0.2%,17
MIN,26.0%,5,25.9%,5,8-2,16.0%,4,-9.5%,7,0.5%,15
NE,17.5%,7,19.4%,6,8-2,28.9%,1,18.2%,31,6.9%,3
NO,32.5%,2,33.9%,2,8-2,25.7%,2,-9.0%,8,-2.1%,22
NYG,-22.5%,29,-22.5%,28,2-8,-2.8%,21,11.4%,28,-8.3%,30
NYJ,-20.4%,27,-18.1%,27,4-6,-16.3%,27,4.4%,20,0.3%,16
OAK,-11.3%,20,-12.0%,21,4-6,9.4%,9,22.5%,32,1.8%,12
PHI,34.5%,3,37.6%,1,9-1,16.0%,3,-15.1%,4,3.3%,11
PIT,31.4%,4,30.4%,4,8-2,14.8%,6,-16.8%,3,-0.2%,18
SEA,8.9%,11,11.2%,10,6-4,0.3%,15,-7.5%,9,1.1%,14
SF,-25.6%,28,-25.3%,29,1-9,-16.4%,28,13.0%,29,3.8%,8
TB,-15.5%,23,-16.8%,24,4-6,-1.8%,19,10.6%,27,-3.1%,25
TEN,-9.7%,19,-13.4%,22,6-4,-1.4%,17,9.7%,23,1.4%,13
WAS,5.6%,15,2.8%,16,4-6,8.6%,10,0.0%,19,-3.0%,24
