Game,EGO,Spread,Spread Target,Pick
MIN @ DET,1.51,-2.5,"[-3.0, -5.0]",
LACH @ DAL,-2.11,-1.0,"[0.5, -1.5]",DAL
NYG @ WAS,-7.66,7.0,"[6.0, 4.0]",
BUF @ KC,-7.24,8.5,"[11.0, 8.5]",BUF
CAR @ NYJ,5.2,-5.5,"[-6.5, -9.0]",
CHI @ PHI,-12.55,14.0,"[16.0, 14.0]",CHI
CLE @ CIN,-5.88,7.5,"[9.5, 7.5]",CLE
MIA @ NE,-14.02,17.0,"[17.5, 15.5]",MIA
TB @ ATL,-6.13,10.5,"[10.0, 7.5]",
TEN @ IND,0.72,-3.0,"[-2.0, -4.5]",IND
SEA @ SF,6.0,-7.0,"[-7.5, -9.5]",
DEN @ OAK,-3.38,3.5,"[7.0, 5.0]",
JAC @ ARI,5.01,-6.0,"[-6.5, -8.5]",
NO @ LARM,-1.94,2.5,"[5.5, 3.5]",
GB @ PIT,-7.87,14.0,"[11.5, 9.5]",
HOU @ BAL,-6.39,7.5,"[10.0, 8.0]",
