Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+8.5 / -8.5,BUF,KAN,-,+8.5 / -8.5
-5.5 / 5.5,CAR,NYJ,-,-5.5 / 5.5
+14.0 / -14.0,CHI,PHI,-,+14.0 / -14.0
+7.5 / -7.5,CLE,CIN,-,+7.5 / -7.5
+3.5 / -3.5,DEN,OAK,-,+3.5 / -3.5
+14.0 / -14.0,GNB,PIT,-,+14.0 / -14.0
+7.5 / -7.5,HOU,BAL,-,+7.5 / -7.5
-6.0 / 6.0,JAX,ARI,-,-6.0 / 6.0
-1.0 / 1.0,LAC,DAL,-,-1.0 / 1.0
+17.0 / -17.0,MIA,NWE,-,+17.0 / -17.0
-2.5 / 2.5,MIN,DET,-,-2.5 / 2.5
+2.5 / -2.5,NOR,LAR,-,+2.5 / -2.5
+7.0 / -7.0,NYG,WAS,-,+7.0 / -7.0
-7.0 / 7.0,SEA,SFO,-,-7.0 / 7.0
+10.5 / -10.5,TAM,ATL,-,+10.5 / -10.5
-3.0 / 3.0,TEN,IND,-,-3.0 / 3.0
