TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-6.1%,22,-12.5%,26,5-7-1,-13.6%,28,-14.2%,3,-6.7%,32
ATL,18.1%,4,19.2%,3,8-5,25.8%,1,10.6%,27,2.9%,7
BAL,8.7%,9,10.9%,9,7-6,-11.8%,26,-15.5%,2,4.9%,6
BUF,3.1%,16,3.7%,16,6-7,9.1%,10,5.1%,22,-0.8%,18
CAR,-6.1%,24,-7.6%,24,5-8,-6.3%,21,-3.4%,12,-3.2%,27
CHI,-3.2%,23,-0.1%,20,3-10,-4.0%,19,-0.8%,18,0.1%,16
CIN,0.6%,21,1.4%,18,5-7-1,5.8%,11,2.4%,19,-2.8%,25
CLE,-37.6%,32,-39.7%,32,0-13,-15.7%,29,17.9%,32,-4.1%,28
DAL,20.8%,2,22.3%,2,11-2,22.6%,2,4.1%,21,2.3%,8
DEN,5.7%,11,3.9%,15,8-5,-9.9%,25,-17.5%,1,-2.0%,20
DET,-8.8%,26,-8.0%,25,9-4,1.3%,13,15.9%,31,5.8%,4
GB,12.5%,12,14.1%,6,7-6,12.2%,8,-2.4%,14,-2.1%,21
HOU,-22.6%,30,-23.1%,30,7-6,-19.4%,31,-2.7%,13,-5.9%,30
IND,-7.5%,25,-3.3%,23,6-7,0.1%,14,13.0%,29,5.4%,5
JAC,-14.4%,27,-14.2%,27,2-11,-12.0%,27,-2.2%,15,-4.5%,29
KC,13.9%,8,17.1%,4,10-3,2.2%,12,-4.3%,11,7.5%,2
LARM,-21.1%,28,-22.5%,29,4-9,-31.0%,32,-1.8%,16,8.2%,1
MIA,-0.3%,19,1.3%,19,8-5,-2.0%,17,-1.2%,17,0.5%,14
MIN,4.1%,14,-0.6%,21,7-6,-8.6%,24,-11.0%,7,1.7%,10
NE,21.2%,1,26.6%,1,11-2,21.9%,3,2.9%,20,2.3%,9
NO,1.6%,15,2.8%,17,5-8,13.6%,6,9.0%,26,-3.0%,26
NYG,6.3%,13,6.8%,12,9-4,-6.1%,20,-13.5%,4,-1.2%,19
NYJ,-34.8%,31,-37.5%,31,4-9,-16.6%,30,11.5%,28,-6.7%,31
OAK,11.7%,6,13.4%,7,10-3,16.5%,5,5.9%,23,1.1%,12
PHI,13.0%,5,10.8%,10,5-8,-6.4%,22,-12.0%,5,7.5%,3
PIT,14.4%,7,15.2%,5,8-5,9.3%,9,-4.7%,9,0.4%,15
SD,1.8%,17,-1.1%,22,5-8,-1.6%,16,-5.8%,8,-2.4%,24
SEA,9.9%,3,9.0%,11,8-4-1,-3.1%,18,-11.4%,6,1.6%,11
SF,-20.4%,29,-21.6%,28,1-12,-6.9%,23,13.1%,30,-0.4%,17
TB,1.6%,20,6.5%,13,8-5,-0.7%,15,-4.5%,10,-2.2%,22
TEN,3.0%,18,5.5%,14,7-6,12.9%,7,7.6%,25,-2.4%,23
WAS,10.6%,10,11.8%,8,7-5-1,17.3%,4,7.4%,24,0.8%,13
