Game,EGO,Spread,Spread Target,Pick
LARM @ SEA,-8.96,15.0,"[12.5, 10.5]",
CLE @ BUF,-11.41,10.5,"[10.0, 7.5]",
DET @ NYG,-5.43,4.0,"[4.0, 1.5]",NYG
GB @ CHI,0.92,-4.5,"[-2.5, -4.5]",CHI
IND @ MIN,-2.81,5.0,"[6.5, 4.5]",IND
JAC @ HOU,-0.26,3.5,"[4.0, 2.0]",JAC
PHI @ BAL,-2.25,5.0,"[6.0, 4.0]",PHI
PIT @ CIN,0.83,-3.0,"[-2.5, -4.5]",CIN
TEN @ KC,-4.75,6.0,"[8.5, 6.0]",TEN
NO @ ARI,1.17,3.0,"[2.5, 0.5]",
SF @ ATL,-10.88,13.5,"[14.5, 12.5]",SF
NE @ DEN,2.84,-3.0,"[1.0, -1.5]",
OAK @ SD,0.99,-2.5,"[-2.5, -4.5]",SD
TB @ DAL,-5.64,7.0,"[9.5, 7.0]",TB
MIA @ NYJ,6.53,-2.5,"[-3.0, -5.0]",
CAR @ WAS,-6.41,7.0,"[10.0, 8.0]",
