Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+7.0 / -7.0,CAR,WAS,-,+7.0 / -7.0
+10.5 / -10.5,CLE,BUF,-,+10.5 / -10.5
+4.0 / -4.0,DET,NYG,-,+4.0 / -4.0
-4.5 / 4.5,GNB,CHI,-,-4.5 / 4.5
+5.0 / -5.0,IND,MIN,-,+5.0 / -5.0
+3.5 / -3.5,JAX,HOU,-,+3.5 / -3.5
+15.0 / -15.0,LAR,SEA,-,+15.0 / -15.0
-2.5 / 2.5,MIA,NYJ,-,-2.5 / 2.5
+3.0 / -3.0,NOR,ARI,-,+3.0 / -3.0
-3.0 / 3.0,NWE,DEN,-,-3.0 / 3.0
-2.5 / 2.5,OAK,SDG,-,-2.5 / 2.5
+5.0 / -5.0,PHI,BAL,-,+5.0 / -5.0
-3.0 / 3.0,PIT,CIN,-,-3.0 / 3.0
+13.5 / -13.5,SFO,ATL,-,+13.5 / -13.5
+7.0 / -7.0,TAM,DAL,-,+7.0 / -7.0
+6.0 / -6.0,TEN,KAN,-,+6.0 / -6.0
