TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-37.4%,32,-37.9%,32,2-9,-39.6%,32,-2.9%,10,-0.7%,18
ATL,-9.6%,18,-10.2%,21,4-7,8.6%,10,19.6%,32,1.4%,12
BAL,14.2%,9,12.7%,9,6-5,1.6%,15,-9.9%,5,2.7%,6
BUF,-24.6%,31,-21.8%,28,4-7,-38.3%,31,-14.8%,2,-1.0%,20
CAR,5.4%,15,5.4%,15,6-5,10.7%,8,5.8%,26,0.6%,15
CHI,21.1%,3,20.9%,6,8-3,2.7%,14,-22.5%,1,-4.0%,29
CIN,-8.1%,19,-10.6%,23,5-6,0.4%,16,9.3%,28,0.7%,14
CLE,-11.9%,25,-10.4%,22,4-6-1,-12.7%,26,-6.3%,8,-5.5%,31
DAL,-9.6%,22,-9.4%,20,6-5,-9.4%,24,-1.5%,13,-1.7%,24
DEN,19.7%,7,21.8%,5,5-6,8.8%,9,-12.5%,3,-1.6%,23
DET,-24.1%,29,-22.8%,29,4-7,-7.2%,22,16.1%,30,-0.8%,19
GB,11.5%,8,11.5%,10,4-6-1,14.7%,5,1.6%,20,-1.5%,22
HOU,7.7%,14,8.5%,14,8-3,-6.6%,21,-12.0%,4,2.2%,8
IND,7.0%,11,8.7%,13,6-5,4.5%,12,-1.2%,16,1.4%,13
JAX,-5.4%,17,-7.6%,17,3-8,-15.4%,28,-7.0%,7,3.0%,5
KC,41.6%,1,42.4%,1,9-2,38.4%,1,5.2%,25,8.5%,1
LAC,26.2%,5,28.2%,4,8-3,26.4%,3,-5.5%,9,-5.7%,32
LAR,32.6%,2,31.1%,2,10-1,31.5%,2,-1.1%,17,0.1%,17
MIA,-7.3%,20,-9.0%,19,5-6,-8.8%,23,2.8%,21,4.3%,4
MIN,6.7%,13,8.9%,12,6-4-1,-0.5%,17,-9.8%,6,-2.6%,26
NE,11.6%,10,13.5%,8,8-3,12.3%,7,0.8%,19,0.2%,16
NO,27.1%,4,31.1%,3,10-1,23.4%,4,-1.5%,14,2.2%,9
NYG,-8.2%,21,-7.4%,16,3-8,-2.2%,18,8.6%,27,2.6%,7
NYJ,-18.7%,27,-19.4%,27,3-8,-25.7%,30,-1.2%,15,5.8%,2
OAK,-27.2%,30,-30.1%,31,2-9,-6.1%,19,15.8%,29,-5.3%,30
PHI,-12.0%,23,-11.6%,24,5-6,-6.3%,20,4.2%,24,-1.4%,21
PIT,14.5%,6,17.0%,7,7-3-1,14.2%,6,-2.4%,12,-2.1%,25
SEA,9.5%,12,10.3%,11,6-5,5.1%,11,-2.8%,11,1.5%,11
SF,-24.0%,26,-25.2%,30,2-9,-16.9%,29,4.1%,23,-3.1%,28
TB,-18.5%,28,-18.9%,26,4-7,3.3%,13,18.8%,31,-3.0%,27
TEN,-14.9%,24,-14.4%,25,5-6,-13.2%,27,3.7%,22,1.9%,10
WAS,-7.0%,16,-8.3%,18,6-5,-11.2%,25,0.1%,18,4.4%,3
